city_index,country,location_name,MAE,RMSE,SMAPE_%,R2
0,Afghanistan,Kabul,5.560456943862748,7.351175442883453,102.37895558367907,-0.39431460984608746
1,Thailand,Nan,4.281368711633628,4.846294262606274,13.789866205800394,-0.8363227583870598
2,Vatican City,Vatican City,4.097047508090243,4.958683429016113,45.04299860707286,-1.042995971610973
3,Japan,Tokyo,5.344094669069799,6.317903545384815,49.95947456219308,-0.6007205428597802
4,Jordan,Amman,6.769528288330088,7.538523096476837,94.83175567746828,-4.592749404193904
5,Iraq,Baghdad,10.2156120974415,10.919608309979704,103.52553342569601,-4.344330568297975
6,Burundi,Bujumbura,1.532087501565096,1.9283789380112635,6.815990697309164,-0.9761990271462042
7,Ukraine,Kyiv,8.76116982401247,9.943471322316642,130.30467344058684,-0.3155569355499104
8,Uzbekistan,Tashkent,8.91924575245517,10.256315635527782,119.36991954045546,-1.179331781779275
9,Malta,Valletta,2.3320127547070824,2.817164497950528,16.786291226894694,-0.5900883956501759
10,Ghana,Accra,1.588472295911485,1.8502780814263056,6.044504102587388,-1.5649426431733926
11,Poland,Warsaw,4.4677415273967185,5.950173196610679,108.89623555162021,0.24417606324773522
12,Fiji Islands,Suva,1.5874202361995828,1.8767069772350644,5.7670371503998625,-0.08053246875172326
13,Equatorial Guinea,Malabo,1.0732887555141009,1.3047995598982467,4.248565779152534,-0.6989409113604477
14,Eritrea,Asmara,3.4757719114753565,4.208230186836591,21.800091322404192,-2.191043144345036
15,Chad,N'djamena,7.0785858279374425,8.314017865321365,35.335251284476456,-3.0636038533534746
16,Senegal,Dakar,5.991655965518462,6.903565204380449,38.605208837911235,-27.980199089311352
17,Marshall Islands,Majuro,0.8983263850643461,1.1994832975039242,3.15210040745601,-0.2894300029224375
18,Malawi,Lilongwe,3.852973559192677,4.230347929090747,20.77402464639087,-7.178149399297601
19,Mozambique,Maputo,2.143988965810762,2.701856515696,8.426803199597154,-0.5379697175811853
20,United Arab Emirates,Abu Dhabi,3.846393070507456,5.116475208351632,17.230136516845096,-3.0569029674132713
21,Vanuatu,Port Vila,1.1688106437444503,1.4828794183850478,4.099309967918413,0.02052883763122837
22,Italy,Rome,3.6491370307308837,4.4883929893761145,45.11344456472316,-0.6672614339394327
23,Kenya,Nairobi,1.241143606039353,1.5171182537819996,6.2865518220048235,-0.30162275098303604
24,Uganda,Kampala,3.1766697266905712,3.6320488373195574,14.910802060372944,-2.355153409961847
25,Bosnia and Herzegovina,Sarajevo,5.650289530247149,6.924001683577313,138.5862823963792,-1.2050021920036609
26,Angola,Luanda,1.2232348923130436,1.4420947997952602,4.787247857949751,-2.8499042198910596
27,Sri Lanka,Colombo,2.8513135149372313,3.342495100764076,9.493510576063022,-4.522626544059246
28,Spain,Madrid,3.3417871426626538,4.124066382772541,57.39699925055963,-0.8845071090397012
29,Andorra,Andorra La Vella,5.140372001168931,6.196660839379377,116.36510300666669,-1.791756049118801
30,Zambia,Lusaka,5.353379843137983,5.995831119328488,33.66038230779189,-16.45314633047282
31,Switzerland,Bern,7.3293444198798285,8.558063233204338,155.01041968653072,-4.654901057092834
32,South Africa,Pretoria,3.0713172888810742,3.799181741313273,15.175516673511924,-1.6212685365346235
33,Hungary,Budapest,3.8113239183352063,4.5509814068164545,111.58902343093082,0.34330883942572576
34,Rwanda,Kigali,1.9268950972267425,2.29545064425312,9.63435088450769,-0.6142779597537738
35,Papua New Guinea,Port Moresby,1.954307268047533,2.4082866437392507,6.922182029580318,-1.4211172830716214
36,Oman,Muscat,4.07768012864129,5.146566751166531,16.176490889570626,-1.7970905147002791
37,Niger,Niamey,2.5026494644456267,3.0799525634410103,10.483174998154581,0.21088354475079207
38,Nigeria,Abuja,4.2863568351377435,4.717548370230371,18.93663480294184,-4.756568599346317
39,Namibia,Windhoek,5.85557711470615,6.698969877918503,28.95243628640685,-2.111562390812864
40,Netherlands,Amsterdam,4.032843795622154,4.875449674523225,108.07923470799714,-0.9203527767270965
41,Cyprus,Nicosia,8.712001713281238,9.440959667117301,93.65731532477508,-10.882931642016109
42,Serbia,Belgrade,4.271708025480338,5.162049523025628,120.18672977486598,-0.1971980482248359
43,Indonesia,Jakarta,1.9680503443896198,2.466096687837884,6.696705314001177,-0.20351539408602903
44,Cape Verde,Praia,1.0978388228303864,1.455621055467227,5.391759428620145,-0.2603014476585772
45,Solomon Islands,Honiara,2.0363366744117775,2.5446681203893644,7.038859381945666,-0.49095648657366975
46,Slovakia,Bratislava,2.7074729028009075,3.3972883867594916,85.39440784764189,0.4892519002840592
47,Singapore,Singapore,2.744225535377274,3.098187534891109,9.124364662944986,-1.7266309057199143
48,Slovenia,Ljubljana,3.228824044915907,4.039880126831545,103.49723880407655,0.21934053764364725
49,Germany,Berlin,4.532789779341246,5.582059368141059,133.68851310590773,-0.04600525683212009
50,Finland,Helsinki,8.972892692965207,10.375259574265248,125.29989581044975,-0.5509410848823939
51,Russia,Moscow,7.291122798843565,8.542871012768806,117.42123762504228,0.07779618663620824
52,Madagascar,Antananarivo,3.1877284728457393,3.6433476351357443,14.570193629208944,-3.2411001923575817
53,Burkina Faso,Ouagadougou,2.862739135044512,3.5491203044582007,12.17921373671258,0.0749042876159931
54,Armenia,Yerevan,11.514154275726705,12.602963655018009,173.93155272298392,-4.6693073237628475
55,Tuvalu,Funafuti,1.0253599425562645,1.301011104667312,3.5407628046916537,-0.2181794522878493
56,Yemen,Sanaa,2.79547527507625,3.32167995668881,14.780351991928677,-1.8729661986347974
57,Austria,Vienna,3.5146643930330437,4.354944653878619,104.14003756642948,0.22308714339446878
58,Botswana,Gaborone,3.415291039615023,4.21568967074514,15.7896590146203,-1.5769982966541969
59,Bahrain,Manama,5.141678285977877,5.905745774137438,27.893078888953248,-5.3716652908170355
60,Tanzania,Dodoma,1.8648776163643455,2.208041098881743,8.845863199739734,-0.8908244615621381
61,Turkmenistan,Ashgabat,10.64571125994523,12.234871523219969,149.1965335622646,-1.7651914797763655
62,Syria,Damascus,7.287849204673464,8.186759637435177,127.50835054092278,-2.420352932661074
63,Thailand,Bangkok,3.7840642528871156,4.356745848714473,11.598916479021797,-1.9715920482817544
64,Albania,Tirana,13.223022184950855,13.999462735147654,186.74606124276795,-13.473836891619257
65,Australia,Canberra,5.829695236685024,6.953919417943526,22.760445412550038,-0.36578305061436067
66,Azerbaijan,Baku,5.834273087964924,6.63240848827266,94.47231052141832,-2.0852174606239537
67,Bangladesh,Dhaka,6.616458483901332,7.135651356083484,24.43826180809766,-2.8595296462299
68,Belgium,Brussels,7.13725519048774,8.172243339274221,168.6688604136439,-4.574892434430089
69,Gabon,Libreville,1.316072316834684,1.584093000812654,5.067335816361685,-1.60160619241279
70,Guinea,Conakry,1.7098369443569046,1.9205662643610393,6.708483128607008,-2.832608017715483
71,France,Paris,9.191678811584639,10.060349585610336,180.60752552888303,-11.080876285331065
72,Portugal,Lisbon,6.718362449616768,7.42279577524246,84.18577445642283,-10.815459311013909
73,New Zealand,Wellington,3.9242104419194415,4.537629873151681,25.58104703002726,-3.6737660856039147
74,Mongolia,Ulaanbaatar,4.3481432728036475,5.73029853636946,55.539711076216626,0.6796792215661027
75,Nepal,Kathmandu,4.283707729075645,4.809342681846824,22.571631315398804,-1.2774010548253023
76,Indonesia,Laos,1.6907409150681394,2.1731803626963653,5.947292917733719,-0.9875901219683951
77,Guinea-Bissau,Bissau,5.088621921197418,5.8259961646030725,27.628134125091293,-11.723768908200595
78,Central African Republic,Bangui,2.323912361583575,2.7755598965260333,10.002624724191834,-2.837391728003771
