city,feature,num_months,monthly_seasonal_amplitude_mean,monthly_seasonal_amplitude_std,monthly_seasonal_amplitude_variance,monthly_seasonal_amplitude_range,monthly_seasonal_amplitude_cv
Tokyo,temperature_celsius,25,6.60113956560202,1.928210968005477,3.7179975371366187,8.36212560747115,0.29210274208611214
Tokyo,humidity,25,38.97930880186041,14.045239026442573,197.26873930990553,52.9912013264915,0.36032550237966815
Tokyo,pressure_mb,25,14.185969342973017,3.7348584539023206,13.949167670685634,14.907448665185985,0.26327833957658825
Tokyo,precip_mm,25,0.19249595293494348,0.1537250226298784,0.023631382582556624,0.454689571859028,0.7985883354224687
Tokyo,wind_kph,25,20.316968145855434,6.8143592983678865,46.43549264725288,32.869954171450225,0.33540237152746555
Tokyo,air_quality_PM2.5,25,49.67464683071958,8.538016870706054,72.8977320844612,31.59404001587674,0.17187876342235028
Tokyo,air_quality_PM10,25,53.80476213965365,11.441690765053927,130.91228756312032,40.70791392936469,0.21265200904255088
Tokyo,air_quality_Carbon_Monoxide,25,422.55894389984735,191.97533076443122,36854.52762211277,759.4534791528606,0.45431609846585613
Tokyo,visibility_km,25,1.6456501119767182,2.274721030134192,5.174355764934759,5.350495919496715,1.382262859874781
Tokyo,uv_index,25,0.5478505688154968,0.7446364252259646,0.5544834057733036,2.8253676111859956,1.3591962254158774
Baghdad,temperature_celsius,25,5.695002140964111,1.5341685041816941,2.353672999223097,5.650649050263381,0.26938857373668584
Baghdad,humidity,25,25.669588558855388,13.967571088406986,195.09304210970274,47.3778694463108,0.5441291377297324
Baghdad,pressure_mb,25,6.717466916315061,2.1929995154498783,4.809246874763401,7.13416981263059,0.32646227257534033
Baghdad,precip_mm,25,0.4957675211020615,1.1477968581126388,1.3174376274932451,5.409783766836369,2.315191716393916
Baghdad,wind_kph,25,16.25438110540741,2.980423216002049,8.882922546483998,13.24001818734596,0.1833612240708777
Baghdad,air_quality_PM2.5,25,43.89001270279908,15.812730824193283,250.04245611839238,59.30660746731094,0.3602808441015745
Baghdad,air_quality_PM10,25,112.88674919312162,57.51472197124082,3307.9432434291316,194.55055772067402,0.5094904617445153
Baghdad,air_quality_Carbon_Monoxide,25,1691.2740559723106,1279.076672309022,1636037.133645121,4821.483670336467,0.7562799581725286
Baghdad,visibility_km,25,2.436908933692523,3.155261953644405,9.955677996115908,9.961471814399944,1.2947804121934907
Baghdad,uv_index,25,1.3979572529686428,0.649678546524252,0.4220822138138647,2.5601980736967413,0.4647342006664526
Bern,temperature_celsius,25,7.133900096421534,1.8527355184556373,3.4326289013470794,8.56047274388284,0.25970864371719976
Bern,humidity,25,26.32743054980407,10.527728074231193,110.83305840495564,39.333307653395465,0.39987677697281176
Bern,pressure_mb,25,14.468054622396131,4.645356576732481,21.579337724991714,16.826171789886246,0.32107679283582485
Bern,precip_mm,25,0.7634088666926745,0.49184024439206925,0.2419068260036504,1.424929469844475,0.644268446242804
Bern,wind_kph,25,7.491960234453549,3.5857474960033264,12.857585105094126,13.55613202305163,0.4786127240122578
Bern,air_quality_PM2.5,25,13.869964043004368,8.899607145903229,79.20300735141183,26.523159900527318,0.6416460142441356
Bern,air_quality_PM10,25,14.888871310494965,7.06239130557885,49.87737095311574,22.00082260961275,0.4743402745781452
Bern,air_quality_Carbon_Monoxide,25,86.87346163874844,50.16041116762107,2516.0668485048045,165.38935455077583,0.5773962522203429
Bern,visibility_km,25,4.6462774540517975,5.393420331093733,29.088982867855226,16.563524831698683,1.1608046192743802
Bern,uv_index,25,1.6493178308589451,1.1960988584506627,1.4306524791869781,4.011552371048058,0.7252082261353766
Suva,temperature_celsius,25,3.468879810709589,1.6716704864262728,2.7944822151886513,6.428931158166575,0.4819049888281711
Suva,humidity,25,18.873658565527116,8.130495397524673,66.10495540916988,36.34263093935427,0.4307853386928958
Suva,pressure_mb,25,4.545833415454247,1.4700687689341618,2.161102185395602,5.543597598704977,0.3233881743084648
Suva,precip_mm,25,0.9137327935436284,0.6558840169384555,0.43018384367532425,2.6596306566970744,0.7178072425252611
Suva,wind_kph,25,9.540834985929143,2.0477414758266836,4.193245151820844,7.462621100203928,0.21462916808085455
Suva,air_quality_PM2.5,25,4.697474816791676,2.1006736780441484,4.412829901627531,7.540034861379228,0.4471921106495438
Suva,air_quality_PM10,25,7.999210014998661,2.869020831319412,8.231280530544728,9.510902102357424,0.35866302121583843
Suva,air_quality_Carbon_Monoxide,25,26.83559686725622,17.697999745955183,313.2191950078297,62.35447037237673,0.659497153482344
Suva,visibility_km,25,0.5029883127999063,1.8043799210854736,3.2557868996164196,9.114418084125255,3.5873197749691528
Suva,uv_index,25,0.17349172479626024,0.3291309048553502,0.10832715253090157,1.1262725448794606,1.897098580591464
Dakar,temperature_celsius,25,2.760416309788665,1.276982977997026,1.630685526094153,5.280063635980269,0.46260521410076394
Dakar,humidity,25,16.66760279471704,8.594673063589472,73.86840506999043,36.8693618126834,0.5156514208698108
Dakar,pressure_mb,25,3.4623209240932504,1.0869780313650208,1.181521240670176,4.1655081134781184,0.31394491013269954
Dakar,precip_mm,25,0.32020314681365525,0.4070797503680925,0.1657139231597485,1.1671182838501308,1.271317144815556
Dakar,wind_kph,25,13.273614804911329,3.8552910515419483,14.86326909209942,18.974530324787594,0.29044771211196097
Dakar,air_quality_PM2.5,25,30.78435493877269,12.541524746200313,157.28984295955482,48.01930088384691,0.4073993030272772
