year_month,monthly_seasonal_max,monthly_seasonal_min,monthly_seasonal_mean,monthly_seasonal_std,point_count,monthly_seasonal_amplitude,city,feature
2024-05,2.014427925687143,-1.4972921182147734,0.5356859931418488,1.0802440582200314,16,3.5117200439019163,Tokyo,temperature_celsius
2024-06,1.7946517726983993,-3.831546213704414,-0.04862221536096811,1.164676549539875,30,5.626197986402813,Tokyo,temperature_celsius
2024-07,1.7538825055429843,-2.64242063632083,-0.08287072407946068,0.8702318689776093,31,4.3963031418638145,Tokyo,temperature_celsius
2024-08,1.6719268787210535,-1.421254470798584,-0.05883984966680931,0.7745454304793716,31,3.0931813495196376,Tokyo,temperature_celsius
2024-09,1.6525452860388865,-2.399979428587961,-0.011788542448836899,1.0009058177433845,30,4.0525247146268475,Tokyo,temperature_celsius
2024-10,2.225545743507007,-3.300365543361593,0.008527666239369453,1.319058245462772,31,5.5259112868686,Tokyo,temperature_celsius
2024-11,2.0037485790537928,-3.269281291326468,0.01763808668744497,1.4092491800557714,30,5.273029870380261,Tokyo,temperature_celsius
2024-12,2.2111077346994024,-2.854252009590214,0.10322202725772676,1.2560382926394997,31,5.0653597442896166,Tokyo,temperature_celsius
2025-01,2.9083597839866435,-2.706231715460166,0.15432083464781704,1.2364292187256196,31,5.61459149944681,Tokyo,temperature_celsius
2025-02,2.4433208032969342,-3.498887399715984,-0.1001933864631093,1.3833723196002483,28,5.942208203012918,Tokyo,temperature_celsius
2025-03,2.745093309718497,-4.53299635372328,0.05252301848022997,1.657936936977021,31,7.278089663441777,Tokyo,temperature_celsius
2025-04,3.14221685187054,-4.2091546915363525,-0.061238155764376724,1.657712679427319,30,7.351371543406892,Tokyo,temperature_celsius
2025-05,3.1043886016705726,-4.151014069158429,-0.04474895148808388,1.595107305727855,31,7.255402670829001,Tokyo,temperature_celsius
2025-06,2.528383111160612,-4.397017068836948,-0.02835879918010488,1.4329805348676383,30,6.92540017999756,Tokyo,temperature_celsius
2025-07,2.2689031326919973,-4.992292438962852,0.006400391934964631,1.559790674255467,31,7.261195571654849,Tokyo,temperature_celsius
2025-08,3.3981452558627305,-4.04722145625972,0.002554764188594441,1.7247493493232737,31,7.445366712122451,Tokyo,temperature_celsius
2025-09,3.634679410981898,-3.7975287598146776,-0.027071288717625326,1.841922775461975,30,7.432208170796576,Tokyo,temperature_celsius
2025-10,3.25091494116766,-3.343482299402911,-0.07206497719854871,1.7771278216465023,31,6.594397240570571,Tokyo,temperature_celsius
2025-11,3.816218201088487,-2.82435853744235,-0.013696838684126907,1.6743355192127425,30,6.640576738530837,Tokyo,temperature_celsius
2025-12,4.442925109062212,-3.058304437674003,0.08316262758807592,1.8938695030826214,31,7.501229546736216,Tokyo,temperature_celsius
2026-01,4.274600092590733,-3.078581807257534,-0.06626935751449771,2.0077838863458397,31,7.353181899848266,Tokyo,temperature_celsius
2026-02,3.5280226347012817,-3.932895626147649,0.04580337078031892,2.008804697769357,28,7.460918260848931,Tokyo,temperature_celsius
