scope,city,var_1,var_2,pearson,spearman,mutual_information,distance_correlation,cross_correlation,best_lag
global,ALL,temperature_celsius,humidity,-0.33886931323430564,-0.32612556316772445,0.8238268655350174,0.3040511964293476,-0.48225635512092185,0.7894736842105263
global,ALL,temperature_celsius,pressure_mb,-0.417808122211733,-0.4800091002926051,0.27031053567587815,0.467393087177572,-0.3505197442484182,3.1626794258373208
global,ALL,temperature_celsius,air_quality_PM2.5,0.060286094547848515,0.07543297798896856,0.06805174732398811,0.12051045178514411,-0.09713476970823458,3.3779904306220097
global,ALL,humidity,precip_mm,0.1706633526766571,0.3617726867156917,0.10056476663038527,0.2429065890462889,0.1762304795458276,0.24401913875598086
global,ALL,wind_kph,air_quality_PM2.5,-0.05184706061627705,-0.1263720026534993,0.07182303673906709,0.0915059709789955,-0.06896141655033691,-0.2679425837320574
global,ALL,wind_kph,air_quality_PM10,0.0805864210122091,-0.031080430522900878,0.06722100945879639,0.11773612064358421,-0.010669326335712557,-0.2966507177033493
global,ALL,visibility_km,air_quality_PM2.5,-0.11643418350869444,-0.15918561325670721,0.047086548913148896,0.15559916921349412,,
global,ALL,visibility_km,air_quality_PM10,-0.050022875347342996,-0.14081771232796036,0.04319573217502537,0.12100553866262165,,
global,ALL,air_quality_PM2.5,air_quality_PM10,0.6531761777892408,0.951469937115589,1.9339117648259938,0.8361067011184842,0.9219720215549596,0.0
city,Tokyo,temperature_celsius,humidity,0.3161328234026092,0.3325286164450705,0.4555989654794397,0.3938755946453945,0.4457864008237889,22.0
city,Tokyo,temperature_celsius,pressure_mb,-0.3361817771989764,-0.3524756691451951,0.1115138879039117,0.3449186896433835,-0.3833597774708703,22.0
city,Tokyo,temperature_celsius,air_quality_PM2.5,-0.0977529274911791,-0.0932236766198469,0.0435977615991549,0.1355033989645858,-0.2547901269092151,8.0
city,Tokyo,humidity,precip_mm,0.1959652197539189,0.4624310791593951,0.1245143599098348,0.3302372313025911,0.1959652197539185,0.0
