city_index,country,location_name,MSE,MAE,RMSE,SMAPE_%,R2
65,Australia,Canberra,1.4308522362214717,1.06627197265625,1.196182359099762,3.7033699046810447,-3.48300905303657
67,Bangladesh,Dhaka,0.16877050963921647,0.32460365295410154,0.41081688090829044,1.2375651559360803,0.2481536999376226
31,Switzerland,Bern,0.4125618088097143,0.5262283451855183,0.6423097452239958,84.50529720183991,-1.9702337940108787
12,Fiji Islands,Suva,0.4295280295633347,0.6157654762268067,0.6553838795418565,2.2259736397821634,-7.841130059251006
41,Cyprus,Nicosia,0.255317735341805,0.39684281349182127,0.5052897538460532,3.336515908086437,-26.44812371115485
126,Comoros,Moroni,0.12355889162136009,0.30169219970703126,0.3515094474140917,1.1278518340579982,0.039847589021558494
93,Kiribati,Tarawa,0.31660069524768913,0.5396001815795899,0.5626728136738873,1.9271989530221814,-16.111576491494773
114,North Korea,Pyongyang,0.4990586340194021,0.6112101018428803,0.706440821314427,31.052490376722126,-0.6176278289483292
85,Liechtenstein,Vaduz,0.9687915371174297,0.8506310233846307,0.9842720849020508,141.7059999007195,-6.0830873985318625
117,Romania,Bucharest,0.33895958460746056,0.4947204854339361,0.5822023570954179,100.44078684850042,-0.6433032566710688
38,Nigeria,Abuja,0.3911842219586106,0.5966878890991211,0.6254472175640488,2.5918964925710073,-52.009139331798565
118,Qatar,Doha,1.1412017199498223,1.0508066177368165,1.0682704339023066,4.879110497437225,-66.48339406437745
150,Chile,Santiago,0.28353322217844834,0.38308143615722656,0.5324783771933358,2.142123329612131,-15.286062004207253
75,Nepal,Kathmandu,0.11007479635336495,0.2916656494140625,0.3317752196191948,1.686042276765163,-0.5505720896816562
161,Antigua and Barbuda,Saint John's,0.17611518464600523,0.398697566986084,0.4196607971278771,1.6044573249758256,-41.579917869759406
2,Vatican City,Vatican City,0.14926954402526463,0.2946769714355469,0.38635416915734794,3.773244319193323,-0.675611561825554
108,Djibouti,Djibouti,0.05455136204291193,0.1909414291381836,0.2335623301025059,0.7605107099652912,-32.04535515259439
46,Slovakia,Bratislava,0.203922751009001,0.368544636387378,0.4515780674578882,121.66263205747863,-1.1200212885613974
162,Dominica,Roseau,0.017991803814402373,0.1120377540588379,0.13413352979178014,0.4464908631835495,-314.2384121280679
153,Croatia,Zagreb,0.20805110388386402,0.36199871301651,0.45612619293772644,26.70947648881826,0.09148479954814337
109,Swaziland,Mbabane,0.1454248602854932,0.3132282257080078,0.38134611612745345,1.4152207645232178,-1.544368815046664
