cluster,city_count,mean_probability
-1,9,0.0
0,7,1.0
1,9,1.0
2,12,0.8241315078925099
3,15,0.9500455949659774
4,27,0.6444626717531838
5,9,1.0
6,38,0.9254453302470388
7,8,0.9700418696471949
8,12,0.9412242139958926
9,15,0.8809095042078448
10,8,0.9756635918405638
11,12,0.9989721542572605
12,13,0.9832277579980213
