feature,importance
feels_like_celsius__stl_trend_std,0.007534082247894707
temperature_celsius__spectral_entropy,0.007508750836483433
wind_kph__stl_trend_strength,0.007475344076199727
feels_like_celsius__q50,0.007431591173943635
pressure_mb__std,0.007422609864032629
uv_index__q50,0.007385421010117819
spearman_temperature_wind,0.007371583566449616
temperature_celsius__q75,0.007361253499141923
uv_index__max,0.007316045044493895
pressure_mb__iqr,0.0073133192377508715
feels_like_celsius__q25,0.00731327561395387
uv_index__iqr,0.007183544821554947
gust_kph__stl_trend_std,0.0071044462545973575
temperature_celsius__q25,0.007094180555480584
visibility_km__stl_trend_std,0.007093513924237457
pressure_mb__stl_seasonal_strength,0.0070747359255292795
feels_like_celsius__mean,0.007003596490018268
feels_like_celsius__spectral_entropy,0.007001483019589123
pressure_mb__spectral_entropy,0.006999264144625449
pressure_mb__max,0.006950666015993852
wind_kph__stl_seasonal_strength,0.006947300045066403
uv_index__q75,0.0068527873917538324
temperature_celsius__stl_trend_strength,0.00679284482802657
temperature_celsius__q50,0.006773461875809923
cloud__entropy,0.0066843717630299575
temperature_celsius__mean,0.006678252973546165
feels_like_celsius__wavelet_energy,0.006669580993305907
cloud__std,0.006557157081300969
wind_degree__q50,0.006537700586380655
gust_kph__stl_seasonal_strength,0.006439154541045944
wind_kph__stl_trend_std,0.006388994432328751
cloud__stl_seasonal_std,0.006361914967199465
temperature_celsius__wavelet_energy,0.006230624377814882
spearman_humidity_wind,0.006174321989626848
spearman_wind_precipitation,0.00609814636257255
wind_degree__stl_trend_strength,0.005812825395395298
spearman_temperature_precipitation,0.0057506120559137845
spearman_temperature_humidity,0.005690036867392286
wind_degree__q25,0.005267380463861111
cloud__iqr,0.00458990335893534
feels_like_celsius__stl_trend_strength,0.004351537939444406
cloud__stl_trend_strength,0.004289633580125069
humidity__stl_trend_strength,0.004024428089236515
uv_index__min,0.0010302676936366321
precip_mm__q50,0.0003994988368615602
precip_mm__q25,3.0416900659328613e-05
