city_index,MSE,MAE,RMSE,SMAPE_%,R2
0,5.8556403342703085,1.7361338956729353,2.4198430391804977,116.1828200563101,0.19445289366853702
1,0.45016639903614464,0.4809085904084522,0.6709444083052967,120.10194348695697,0.004603212827991587
2,3.6039967116570284,1.2292245159379522,1.8984195299398468,113.16870836758694,0.30007894416348346
3,2.9631485658027583,1.2311407501263876,1.721379843556546,104.84029836272278,0.5260322079978348
4,2.1452543024500237,0.9240326225493968,1.4646686664396231,113.87082540233739,-0.05242043977761912
5,1.3078060593467933,0.8203700842788721,1.143593485180286,92.65349703639849,0.48939153684219805
6,0.7997823663318675,0.602470599341476,0.8943055218055335,124.36087820705801,-0.2761069151963833
7,2.316852670253317,1.1777815892062913,1.5221211089309934,94.20171022335532,0.5251771134258882
8,4.882925784009799,1.712597343577995,2.2097343243045753,111.32056188862258,0.3335667845703757
9,1.6496736942117862,0.8951026629186785,1.2843962372304687,89.46353718123697,0.4265721583839953
10,0.2749431673419961,0.3703488979156716,0.5243502334718619,119.43199836135115,0.37370540434443644
11,2.0708405717652227,0.9505414113009933,1.4390415462262451,79.1777265473362,0.6757336126220976
12,0.6360012491297394,0.5623375078863941,0.7974968646519806,78.0032637583397,0.604804801911734
13,0.19533226855598587,0.33712948542936344,0.4419641032436751,100.42481769438389,0.3275412368978968
14,1.0515320359343452,0.6851706548591586,1.0254423610980508,77.19609476760705,0.502531211188159
15,1.0952591025611738,0.7644618513286823,1.0465462734925646,91.09755128535265,0.4769632911878662
16,0.7103515181775779,0.5130692550365329,0.8428235391691299,128.29727317534906,0.28796270963075354
17,0.4765452627831195,0.46919974505409884,0.6903225787869897,109.08751586886135,0.32211990056155726
18,0.3869108586832351,0.46745615632174575,0.6220215902066705,115.2814245030223,0.25770898283357246
19,1.0128886096927985,0.7225047898036187,1.0064236730586171,112.39442409616896,0.28575286636214736
20,0.49161887791058284,0.4725976200390623,0.7011553878496427,83.67502155116033,0.5989988563475614
21,0.5915571993927135,0.519516903518585,0.7691275572963912,95.28101440401078,0.43292070726887655
22,4.104054728949024,1.273037869903254,2.025846669654203,115.84321236734682,0.26449135048895445
23,0.3989208529040073,0.456753211464871,0.631601815152559,118.07211785710959,0.18924536157099725
24,0.6257621931000825,0.5588229178566922,0.7910513214072034,121.38482901225454,0.15207800210132627
25,2.206796808152302,1.1182253240912419,1.4855291340637862,114.17301946205525,0.29368093729179057
