city_index,country,location_name,MAE,RMSE,MAPE_%,SMAPE_%,R2
0,Afghanistan,Kabul,7.052117772367121,8.358694880750738,3655234.4668778284,78.8728940201253,-0.8027028581059961
1,Thailand,Nan,6.043527319754134,7.157242261900418,18.004459870238442,20.45511171932083,-3.005169413255154
2,Vatican City,Vatican City,3.9505080714043252,4.948425800634888,86.71713954152669,44.34811616520745,-1.0345523520639857
3,Japan,Tokyo,4.769862596061734,6.0608946399663965,178.5692616097262,37.58869918116063,-0.4731365497658564
4,Jordan,Amman,3.0375935917804897,3.8419681254561286,36.76381898607699,27.619569732176025,-0.4526478163978902
5,Iraq,Baghdad,4.103899930405593,5.365485710534706,42.44078126972116,27.8889087623186,-0.2903195504850986
6,Burundi,Bujumbura,2.2584060494428546,2.7099837702880136,10.180173970342095,9.523732722552733,-2.9028270128034386
7,Ukraine,Kyiv,8.534692276028512,10.763436678004592,217.1842106147781,144.5498890227826,-0.5414715647775459
8,Uzbekistan,Tashkent,6.25690450762301,7.665938430835396,281.38314550145805,64.11188690663073,-0.2175063941490991
9,Malta,Valletta,3.6277692700079864,4.219592386466349,28.880630063574042,24.16981068251295,-2.5672853864637553
10,Ghana,Accra,1.34846501516202,1.6039930813800465,4.966547066356614,5.103403823234908,-0.9275632203112796
11,Poland,Warsaw,8.208425610552545,10.52632415950545,378.0398513086831,133.60025208916522,-1.3654561808066012
12,Fiji Islands,Suva,2.5103163553645977,3.0505293162270437,8.896348879920795,9.420005132345183,-1.8549288560718202
13,Equatorial Guinea,Malabo,1.2097929165717514,1.578441779423371,4.830349684346494,4.72019168231127,-1.4862672349048585
14,Eritrea,Asmara,3.579752744318367,4.598117237328546,21.96432307437717,19.057836948440375,-2.8097263504330448
15,Chad,N'djamena,3.2755269186386045,3.8880114025186963,14.819373573135234,14.230966864482486,0.11132182077368202
16,Senegal,Dakar,2.612741925827631,3.247864002918384,13.61041624218263,12.341524812037573,-5.414313378938492
17,Marshall Islands,Majuro,1.1954123861540038,1.554499483150742,4.173761889168019,4.26386346353415,-1.165661248290189
18,Malawi,Lilongwe,3.345760508628717,4.072200352709638,16.57917759241452,14.829297106753566,-6.578114079513048
19,Mozambique,Maputo,2.831008424327136,3.461676782603516,11.032394412305505,11.12152483518699,-1.5246213548609409
20,United Arab Emirates,Abu Dhabi,3.3933463100796804,3.9907604148010467,14.361998148182902,13.393135505299107,-1.4681081357043757
21,Vanuatu,Port Vila,1.9908309424307666,2.4520332688295357,6.876764912921593,7.196673376048874,-1.6781364217616237
22,Italy,Rome,4.268527330431775,5.328547544194573,94.37378582756043,46.26279873931716,-1.3498473139647809
23,Kenya,Nairobi,1.5450366218891842,1.910203060742008,7.9309344338331496,7.714654971453239,-1.0635041027003673
24,Uganda,Kampala,2.1928059175762264,2.774717090051414,9.928688934917606,9.514869211435432,-0.9581521853685668
25,Bosnia and Herzegovina,Sarajevo,4.310723627414111,5.254699997284527,4309650.773843738,123.03367128923301,-0.2699614802074912
26,Angola,Luanda,0.9708511362339669,1.2241020751308616,3.7434949609001844,3.7686557530140505,-1.7739432490705527
27,Sri Lanka,Colombo,1.684590562920238,2.1363841651246305,5.3235586276498985,5.492840517493275,-1.2561232333145154
28,Spain,Madrid,4.252387257428015,5.0949545133568375,121.45584877290511,58.14464335931675,-1.8762531527991344
29,Andorra,Andorra La Vella,6.137237801048227,7.13738376297258,6263832.571161733,169.59430690437313,-2.7037367397637446
30,Zambia,Lusaka,2.620048676728494,3.2490394340593065,13.913073534638617,12.665860937989635,-4.12489428297525
31,Switzerland,Bern,4.239977196884921,5.831215768868924,18718489.77404365,115.57860917628886,-1.625380479183204
32,South Africa,Pretoria,2.628613776382507,3.4669664971142273,14.590961515706166,13.060714322803902,-1.1828840404598377
33,Hungary,Budapest,4.96487748531421,6.344073760086031,179.5234706911737,114.92682675576637,-0.2761081887598833
34,Rwanda,Kigali,2.512957669906501,3.015321463983498,12.946649672424284,12.17459754760083,-1.785541525990849
35,Papua New Guinea,Port Moresby,1.8386826056697234,2.386261211566512,6.687994122114604,6.67572951495587,-1.3770342396180864
36,Oman,Muscat,2.354785674517252,2.956278153400885,8.990147118844652,8.744923318797346,0.07708460897394054
37,Niger,Niamey,2.484571036426553,2.994875195111541,10.730287357629742,10.427829834483846,0.2538768724212679
38,Nigeria,Abuja,1.8930355452845447,2.266866034239891,7.839904768302743,7.797497998988358,-0.32917655196357076
39,Namibia,Windhoek,5.088527809282813,5.917056458444695,30.873276059814224,25.60554901153653,-1.427581895691569
40,Netherlands,Amsterdam,5.297266940899577,6.3964604295482514,396.8640133252238,89.48834275641788,-2.3054538422573096
41,Cyprus,Nicosia,2.8462638946804906,3.608442886247423,23.32105332563967,19.983086354318484,-0.7359251120857111
42,Serbia,Belgrade,3.535256097103242,4.7138801180906995,166.0524252673983,79.39479594845211,0.001659398689401126
43,Indonesia,Jakarta,2.512588775600403,3.210869256682962,8.81142867174221,8.510188425787286,-1.0402185581940953
44,Cape Verde,Praia,2.6409593538305494,2.961042807196011,13.29167601813335,12.275773606653999,-4.2151541395144525
45,Solomon Islands,Honiara,3.230522684814115,3.8094033402797716,11.12484386149532,11.360715241451352,-2.3413085910178113
46,Slovakia,Bratislava,4.316058968851271,5.403675627306413,2754593.1489813607,100.69287766207438,-0.2921724366859251
47,Singapore,Singapore,2.326877320238579,2.945228880590812,7.5479717351721956,7.771897601501307,-1.4640473514949002
48,Slovenia,Ljubljana,4.692991936805966,6.156432308267603,11495325.314536313,99.957900530906,-0.8129377325370521
49,Germany,Berlin,6.923897296429653,8.718544378312913,16021421.09105841,133.23714626912124,-1.551719484759484
50,Finland,Helsinki,10.814743617962968,12.761897174346268,3898172.7728127027,150.1930067478686,-1.3465393474586334
51,Russia,Moscow,7.761322142953003,9.53673228476911,278.06348553410555,141.29777012433905,-0.14926028259038815
52,Madagascar,Antananarivo,2.1594045234785377,2.754334295860053,9.584273497067027,9.326480294699683,-1.4238771687505487
53,Burkina Faso,Ouagadougou,3.1676855580861014,3.8679386576297627,13.301132520203868,13.515130706117073,-0.09876389996380253
54,Armenia,Yerevan,6.765287631261534,8.207365016719299,540.3589738956608,112.5876664605486,-1.4043192298474723
55,Tuvalu,Funafuti,1.1408433999771705,1.475053754487963,3.949901851348748,3.954090843930598,-0.5659033653927099
56,Yemen,Sanaa,1.830036350933215,2.2730661885825367,10.928755089942127,10.698241350683352,-0.3453618503740523
57,Austria,Vienna,4.400000815841267,5.50396927152207,950484.1092637854,114.05707695662043,-0.24096356155084164
58,Botswana,Gaborone,3.1180478351219727,4.167004717833286,16.381778898711282,14.320855043321332,-1.5178209823116489
59,Bahrain,Manama,4.774032056040283,5.86525956369675,23.51445957953003,20.183367288091564,-5.284604192249211
60,Tanzania,Dodoma,3.072690449616748,3.7208627936037075,14.69059307070674,13.298533435496726,-4.369380955581666
61,Turkmenistan,Ashgabat,6.996400871802828,8.510537966980623,110.19780565340483,68.34772303000545,-0.3379516226495589
62,Syria,Damascus,3.5640924585821416,4.452917280326964,140.56292077004346,44.8743896101561,-0.011896507796770095
63,Thailand,Bangkok,4.326129008004356,5.351423492541986,12.383690316575448,13.598257415215938,-3.483357567380973
64,Albania,Tirana,4.451302589801475,5.580646093070239,127.193420677703,59.043983642204324,-1.3000109312516877
65,Australia,Canberra,6.174684329135402,7.964076859272736,24.21079125024431,24.885565388692985,-0.7914029974475132
66,Azerbaijan,Baku,3.159336484657706,3.9630771398640783,66.03018507812868,36.5753770270575,-0.1015603599169026
67,Bangladesh,Dhaka,6.399766655079348,7.582796938326473,19.91534310347938,22.90922008697885,-3.3583889853947975
68,Belgium,Brussels,5.536388176442501,6.616780232896299,20922022.012900267,98.85294758628618,-2.6546629741809316
69,Gabon,Libreville,1.267347411405444,1.546693873346862,4.992064261901318,4.892786841280726,-1.480212762624134
70,Guinea,Conakry,1.1686530445737544,1.408940302863745,4.785162426693217,4.639807938462353,-1.0626284155173389
71,France,Paris,6.674477614004884,7.497295026123562,196.1173927808066,109.6504474614272,-5.709366172604825
72,Portugal,Lisbon,3.340004992938986,4.055923870981323,30.823360345415583,28.89747360440074,-2.5277286705012503
73,New Zealand,Wellington,2.3547191590072374,2.846136109758824,13.183137753546067,14.157722377261074,-0.8387393357362058
74,Mongolia,Ulaanbaatar,8.085331018203822,9.99218495816327,321.2924131146545,94.21506255535884,0.026016626724080116
75,Nepal,Kathmandu,3.2028502525450198,3.828745167234335,15.220588466272812,15.984857281867093,-0.443381034395121
76,Indonesia,Laos,1.7879571552451647,2.3919348988313747,6.529554234706534,6.282446646899363,-1.4078753252167235
77,Guinea-Bissau,Bissau,1.3883287523582533,1.711347538946515,6.556155124827345,6.56730106237189,-0.0978722635042617
78,Central African Republic,Bangui,1.8373300200704024,2.539200135003817,7.594412011209929,7.475417623653577,-2.2116543027716467
79,Saudi Arabia,Riyadh,4.359852190797633,5.343919715949633,24.354455034876402,23.194897825992786,-0.15367826123534667
80,Sweden,Stockholm,6.6753643972128724,8.78397802631376,316.52300404994986,132.15511634177457,-1.34080535905859
81,Saint Lucia,Castries,1.033081734888614,1.2676765221933624,4.002381334357619,3.968068624628618,-2.5054048218731926
82,Iran,Tehran,3.96390779991376,5.0184840214130135,68.6284615885011,39.71391046029351,-0.2894624300504445
83,Israel,Jerusalem,4.868129721328128,6.049437121277302,43.733428316225336,32.14954765707203,-2.418375548327448
84,Lithuania,Vilnius,8.437760841430213,10.87339148208325,660917.9025601803,138.03917879033045,-0.5584417876336183
85,Liechtenstein,Vaduz,5.380507494010797,6.473607102828622,12699291.777719706,141.4564560869453,-1.6029112123166827
86,Vietnam,Hanoi,5.0229482349359005,6.5276853270647495,22.089597770774258,21.489456606830117,-0.8867409172610772
87,Belarus,Minsk,9.054724065017819,11.850560380941513,157.5898159356914,140.92894867769684,-0.4032922795626115
88,Benin,Porto-Novo,1.5174694552305945,1.8035235339335232,5.513345290256148,5.600526108954609,-0.7758667847332561
89,Kyrghyzstan,Bishkek,7.463863362821643,8.804677935419292,5522520.175259585,111.52564532132392,-0.37177997250824246
90,Lebanon,Beirut,3.8236056686901123,4.661926252948356,25.890637076130556,21.786779225754294,-3.7402558507779355
91,Liberia,Monrovia,0.5960746507651238,0.8590122777931287,2.4753973262129074,2.4612756701543455,-0.21789334823058448
92,Mali,Bamako,3.523595320665264,4.270393777612398,14.683466313317444,15.585362531314503,-0.30915469108463034
93,Kiribati,Tarawa,0.9435989280224933,1.1464353361126682,3.2773262583814287,3.357811187728089,-5.377811971737448
94,Kazakhstan,Astana,9.292553760690474,11.304077895039518,298.6460589365692,122.1472328781125,0.03205348190540824
95,Bulgaria,Sofia,5.132072135388285,6.585564256185063,347.166414082801,130.6319778073144,-1.68393544990326
96,Uruguay,Montevideo,3.488910813232211,4.201731085847346,18.629198336069297,19.30082508729495,-1.1586132135698066
97,Mauritania,Nouakchott,2.347253246964287,2.8943247535370293,12.873222865112819,11.847359096118414,-1.2080026744842787
98,Mauritius,Port Louis,2.1113321581631994,2.5163320526725785,7.232593660594637,7.56512289593471,-5.210816085637461
99,Malaysia,Kuala Lumpur,2.891139833599738,3.6580668131534173,8.794412308264201,9.31682677877073,-3.2374046875853093
100,Denmark,Copenhagen,6.007723593056,7.355568373208436,12576938.187463151,121.84388204983767,-3.767489703624893
101,Zimbabwe,Harare,3.4671548286960325,4.161896290399379,19.356364217963847,16.989450349502373,-4.354672640434604
102,Tajikistan,Dushanbe,6.066946055014228,7.49484665189015,135.72471276403581,58.06402422871575,-0.3826529884776959
103,Algeria,Algiers,5.158742315880028,6.322016530396867,70.21335420786203,46.93946586284199,-1.0909865676778612
104,Argentina,Buenos Aires,3.2383486273719053,4.137256494581858,17.26057634691183,17.312481577013532,-0.35574236232377476
105,South Korea,Seoul,5.946969828185449,7.290075800967978,285.6160628647736,83.28131628758103,0.2318092173307491
106,Egypt,Cairo,2.5230495214399995,3.1939412493527928,16.00011714773403,14.966003240403555,-0.17665182703571092
107,Sudan,Juba,4.1812207756920055,5.004933491742827,17.21612377412378,18.173614589264602,-0.44414999116590326
108,Djibouti,Djibouti,1.096852363955058,1.3394202748745259,4.275294128233942,4.1815793417095755,0.29709482322435843
109,Swaziland,Mbabane,3.7397909068731097,4.77338295042256,20.342267903127638,17.73975427940085,-1.490139498197495
110,Sudan,Khartoum,3.9117363771404747,4.840173574844219,15.090604247095971,15.437638383006394,-0.4806573386825379
111,Seychelles Islands,Victoria,1.8465348133794182,2.2372585008190566,6.228853988953763,6.3685813770539434,-1.716041836525609
112,Somalia,Mogadishu,1.2416632781895793,1.4296724000642973,4.314115104195789,4.331592968124311,-0.2743079376385904
113,Montenegro,Podgorica,4.549820538901647,5.606711240189876,70.52584037022399,62.90178352508903,-0.7744868900180286
114,North Korea,Pyongyang,7.642289034221246,9.414198815647095,242.85235232322879,113.06387110116482,0.0318576380772686
115,Norway,Oslo,7.368000944775998,9.049535791595947,469.2457803619291,129.16191477289928,-1.6891112777100572
116,Pakistan,Islamabad,4.286207500275259,5.324452109774397,21.362042221336864,20.400970349061094,-0.20921591724146182
117,Romania,Bucharest,4.648775561447513,5.772533355962272,4836276.846570302,107.33404957803468,-0.0255904174428625
118,Qatar,Doha,3.6336783733052673,4.554575756865212,16.186043520710697,14.62641215087973,-1.1154776655382976
119,Saint Kitts and Nevis,Basseterre,1.7483238067384352,2.1610059490227562,7.131735219270732,6.934732260071639,-4.028482545702907
120,Philippines,Manila,2.6652794144233645,3.276804168565051,8.196202978502305,8.636868720337121,-1.018859118196466
121,Estonia,Tallinn,9.105630350612023,10.934158203958729,8847239.408779433,146.66764372328095,-1.4295875683431376
122,Ethiopia,Addis Ababa,1.5744489383344689,1.9431301598875526,9.398288812928737,9.129838035280455,-1.1635443278994586
123,Democratic Republic of Congo,Kinshasa,1.5050755259755184,1.8713393141236545,6.397721226908862,6.137322751623006,-2.82751358144471
124,Czech Republic,Prague,4.806300488402424,5.819256088792661,8786491.14395581,136.0643590629177,-0.7346583286057484
125,Congo,Brazzaville,1.527740738487259,1.881476309622095,6.4694128816232235,6.234278489913269,-2.7640015307877897
126,Comoros,Moroni,2.991852046029131,3.5271988065911106,10.044838832464551,10.759154624937825,-1.9542932190456113
127,Canada,Ottawa,7.453023554314509,9.162616259383618,14670664.625720484,120.01667870595179,-0.2627930508473386
128,India,New Delhi,7.037182370999887,8.397856460358762,29.482756160130823,31.713129003234158,-0.680079898112435
129,Venezuela,Caracas,5.089562858323081,5.902148803358715,29.793847005547786,24.710353270071167,-1.5477116320857758
130,Ireland,Dublin,4.8067827588565795,5.893751208045576,319.91210352950344,80.73950606908616,-2.1121316529084897
131,Lesotho,Maseru,3.828630466108846,4.449537569045074,21.162350479830305,18.847817127800088,-0.5706428125006031
132,Latvia,Riga,9.449255589762027,11.918775497637167,13196189.837834653,149.30008316029821,-0.9666097188156084
133,Micronesia,Palikir,1.9228198386185031,2.3297865995613103,6.630561172296083,6.625454695374615,-0.780531445885386
134,Morocco,Rabat,3.692634798936952,4.548439576202076,42.07692031488364,31.50998987362034,-1.2298821588282043
135,Luxembourg,Luxembourg,5.132116634440496,6.116680947896808,9179295.294067172,126.24943356041885,-2.1758531424237293
136,Kuwait,Kuwait City,3.1153645365952203,3.953644317073594,18.95449264052235,16.75350743309949,-0.002031613860648873
137,Turkey,Yaren,5.568863274323638,7.050775757318828,232.21079882324696,95.7810297788629,-2.6070872206057505
138,Turkey,Ankara,4.141872373574006,4.988035533737809,4923837.624373652,100.86296774316621,-0.5336865520532847
139,Tunisia,Tunis,4.1205637139601645,5.068476151260543,38.974496255368976,29.8526675346186,-2.40723578879685
140,United Kingdom,London,5.034737481225954,5.910316494860541,24237235.691195335,84.1879453936815,-3.213923462562427
141,Brunei Darussalam,Bandar Seri Begawan,1.861498509692292,2.3469634151807424,6.281176464805566,6.233528152843764,-1.0033370317326327
142,Bhutan,Thimphu,4.900643965400856,6.22503709672431,42.817075800563664,57.705573359359484,-3.9555879055835224
143,Cambodia,Phnom Penh,4.340852547930122,5.282758301652049,12.19466570111492,13.251598856884165,-2.3121903254224976
144,Barbados,Bridgetown,0.9921970003506962,1.2225778831072405,3.8960421342138174,3.811754995704051,-2.9674067278124707
145,Timor-Leste,Dili,0.8957958544074015,1.1764671011434886,3.3403430423443794,3.303970327109973,-1.0429148930966265
146,Tonga,Nuku`Aloia,2.3419561046993147,2.825387561620197,8.343537654371278,8.845413521008624,-2.804028596092726
147,Trinidad and Tobago,Port Of Spain,1.1856533398568498,1.4796661511831624,5.073916168191293,4.922517563651934,-1.7778387164171137
148,Monaco,Monaco,4.072220887412545,4.818566191939201,42.49556765339165,38.64962097657324,-1.5582494758793062
149,Panama,Panama City,1.3440042313885414,1.7849163334506075,5.648296409233231,5.45232567691797,-0.34427497659015494
150,Chile,Santiago,2.4138481998772408,3.0118456205942756,14.827930727252307,15.536129378195849,-0.5103397880134559
151,China,Beijing,7.3002811006124855,8.836125917467477,149.9950992826613,83.86924628438457,-0.17694971787349134
152,Dominican Republic,Santo Domingo,1.3476710707942927,1.6349502352022354,6.203280469095275,6.000207638279437,-1.0778190571817134
153,Croatia,Zagreb,4.124435120534099,5.313233602254504,252.7985702636256,102.01473046460829,-0.39392709360015843
154,Georgia,Tbilisi,4.1389092151360565,5.014272136665702,147.9159722169516,64.22170191674073,-0.4017715048514394
155,Haiti,Port-Au-Prince,1.5722156796130669,1.9968399108222026,8.281962421087139,7.9774148431276215,-0.47099368621578397
156,Gambia,Banjul,1.4510161461951352,1.784053492478971,7.044313113059446,6.87306930607041,-0.5618459738828017
157,Saint Vincent and the Grenadines,Kingstown,1.1089018560743824,1.3465538985285752,4.284473490451691,4.1685281022686365,-3.9242635541417057
158,Sierra Leone,Freetown,1.3903650413547164,1.6860809246820838,5.574661280038144,5.57459489263863,-1.3638097461774787
159,Suriname,Paramaribo,0.848687163898395,1.0458085029206563,3.6377044863277903,3.6236705507863913,-0.21479258714977534
160,San Marino,San Marino,4.3196684680654345,5.242158990058102,66.79383009152876,50.951729119796404,-1.2991601256233625
161,Antigua and Barbuda,Saint John's,1.6155146170015215,2.0137061516177934,6.685093498026082,6.4525127600563374,-3.7023414980226397
162,Dominica,Roseau,0.8376113909462787,1.0287163045086798,3.3626747084621913,3.2869524501952183,-9.04191561491303
163,Cuba,Havana,3.9997937995248947,4.741784096470676,22.50104109004693,20.93786821771635,-1.0014374357356282
164,Guyana,Georgetown,0.8205421885384189,1.0280055673118256,3.4469931742378632,3.451435579816108,-0.2552878353961199
165,Greece,Athens,3.7434554997416996,4.419050458735527,37.476350294806785,30.738866996105063,-0.6300800546028773
166,Belize,Belmopan,2.2642028789195807,2.712151387509891,13.013053105569213,12.008218123442282,-0.5578719731391564
167,Brazil,Bras,0.9280288032131719,1.2212979389448115,4.106482420923156,3.9847857525663866,-3.178344358362593
168,Bolivia,National,0.9755300202074103,1.2292181662641195,4.302096431359062,4.306135074195628,-1.0724892468613523
169,Bahamas,Nassau,3.9879530147440825,4.922655312070517,20.644940317198255,18.587889607815775,-1.2563867380666878
170,Mexico,Mexico City,3.1289374771770717,3.7513046808127792,20.887320114009135,22.333048819733936,-0.6754086652160565
171,Macedonia,Skopje,5.580100687381648,6.619231225549143,233.15466889435922,122.77822942795787,-1.0509415853137716
172,Ecuador,Quito,0.7880713579875647,0.9957576344116695,7.0883793857195325,7.182636122527372,-0.7352213912265746
173,Grenada,Saint George's,0.9675807988114014,1.2407333622965593,3.7969860654112417,3.7137124985432304,-1.5675345810850172
174,Honduras,Tegucigalpa,2.4593733408928045,3.1675207891001005,13.238774439015256,13.38701278122664,-0.8651228832109412
175,Peru,Lima,3.9299833553336447,4.163396507591238,17.652103617426167,19.596364271123154,-24.373670089209476
176,Bolivia,Sucre,1.2337296986246473,1.5777246636263076,9.649014232718345,9.425764384049272,-2.1031558876512118
177,Samoa,Apia,1.3545050152629852,1.7593688842526256,4.856417663657311,5.016655949578092,-1.4611444160139504
178,Nicaragua,Managua,2.958872942276814,3.5059171694028266,11.581618570741147,12.28863182908022,-2.002588955814776
179,Guatemala,Guatemala City,2.0635349702610495,2.4919537776076006,13.370531089085144,13.218473166166369,-0.21660036501590407
180,El Salvador,San Salvador,3.1230832610536607,3.6775856771511006,14.014383765307176,13.138587365532404,-2.4783046744494275
181,United States of America,Washington Harbor,4.9497099923338475,6.073535732804786,210.9000757968817,91.08308138882744,-2.113823841915554
