0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
17.51063,16.502827,16.52623,14.286613,16.700974,19.51565,19.199825,16.830421,19.644424,19.138752,18.511251,15.397171,17.482685,19.538557,19.427155,12.971936,12.198775,15.706287,18.27195,12.779459
33.307022,32.56891,33.17716,31.821545,32.79609,33.49829,32.75549,33.35998,34.440357,33.517906,32.82293,33.45903,34.577835,33.217335,33.007404,34.641533,32.724182,32.670887,33.251293,34.0203
14.156201,12.136387,14.123941,15.82139,14.593239,14.15672,12.544935,16.61973,16.094156,15.452116,14.663826,15.267912,17.566708,18.036493,17.518047,18.565144,16.902464,16.995485,18.810627,19.20259
19.485678,17.993174,17.989574,17.219475,18.187094,19.362146,14.9382925,15.045975,16.349642,18.550594,20.797222,21.315994,17.287548,15.9648075,13.719392,18.790768,19.055592,19.727571,20.715744,19.248125
19.366186,17.99331,16.006443,14.571153,14.662031,13.829431,14.1439705,14.41054,14.402376,15.579707,15.486704,14.846888,14.452329,14.843618,16.003096,18.042843,18.5337,16.896652,17.811014,16.711613
20.196228,19.059193,18.826155,18.720787,16.547234,15.553503,15.2145,16.221525,15.620922,16.17781,16.856403,16.587732,17.0791,17.605757,18.03452,17.840647,18.395351,18.430475,18.392447,18.980011
21.482645,21.123379,20.55748,19.369638,21.281397,21.609188,21.349915,20.333393,22.23722,22.563364,21.426374,22.095753,21.566387,20.953047,20.80441,20.570047,21.030521,20.94242,20.53695,22.463026
7.878496,6.1710663,6.348379,6.423278,6.4470744,7.3637714,7.7744102,8.970392,9.5611515,9.443942,7.784073,8.5083065,7.8921824,9.174314,9.094013,10.627376,11.355669,11.151029,10.591674,9.037485
21.24369,22.152542,22.830526,23.16943,23.97125,23.774857,24.492363,24.23429,24.354057,24.285002,21.281683,21.57461,23.047709,24.564402,25.276749,24.474993,19.684225,21.707047,22.913675,16.73555
16.287605,15.685782,15.450622,15.523737,15.984061,15.809596,15.0347595,16.476215,15.945947,15.672403,14.461199,15.247266,16.366043,16.803478,16.631905,17.052223,19.553984,19.682049,19.688414,19.844086
27.21926,26.228165,26.165678,26.62232,25.492025,26.156012,26.804676,25.769726,25.298403,26.087172,26.97399,24.396791,25.022938,24.78113,26.18387,25.528038,25.524994,25.867655,26.675314,26.769783
8.828555,8.978554,8.557372,0.9536754,5.1260552,9.0261,10.639254,11.311343,11.613603,11.10804,9.547548,9.14922,10.256838,9.13227,10.571817,10.45882,9.989746,10.302674,9.8864975,10.657583
27.475853,27.66314,27.86839,28.49547,29.272617,29.132128,29.528193,28.675846,28.46518,26.95932,27.734524,26.967627,27.525589,28.372963,25.552551,26.763382,24.703022,26.148048,28.224705,28.8029
25.805431,25.806112,24.809061,24.756413,25.847126,25.006525,24.13161,24.821207,25.251478,26.251474,25.153053,24.579275,25.289665,24.544783,25.12317,24.680056,25.989466,23.845793,25.597359,25.99279
21.321503,21.022049,18.90072,19.105276,19.386688,19.733727,20.07878,16.05235,16.288658,17.48431,18.29099,18.775976,18.742083,17.128035,18.908142,20.668364,21.697647,18.57004,18.55583,19.94159
25.127232,23.952688,22.551632,21.187798,21.295813,23.157549,23.957882,24.878078,23.867046,24.287992,23.215723,22.48661,22.459352,23.49602,23.4284,23.46456,22.526619,23.2624,24.14599,25.087793
18.616173,18.013872,18.377596,19.228748,17.613325,18.3693,19.189323,18.24472,18.401062,17.79541,18.546913,19.311054,18.853394,18.655262,20.160465,20.722696,21.99353,20.678001,16.80416,20.177896
28.75089,27.292164,27.347559,28.566221,28.25882,28.098783,29.605095,29.774721,28.89517,29.717443,29.571917,27.359762,29.23967,29.120901,28.239473,28.844454,29.16071,26.443386,29.309515,28.663363
18.24935,18.450329,19.709105,20.440874,20.844728,18.906061,18.531479,19.215801,19.987162,19.14263,19.300447,18.235079,18.364788,19.27088,18.218554,19.423147,18.713486,19.033512,19.459929,19.442972
24.200748,23.832947,22.747835,24.21774,23.613491,22.12949,23.191069,24.189224,24.217184,23.42293,23.70973,23.98487,24.026886,25.000004,21.107588,21.612455,22.848158,23.033674,21.099216,20.4404
24.188807,25.04922,26.513847,24.459913,22.537352,23.160362,24.969782,24.352419,23.426361,23.627453,23.02045,22.775774,23.257734,23.280567,23.366117,24.86077,24.35955,23.761408,23.63169,23.634125
27.753628,27.256535,29.144285,28.66785,28.361916,29.042519,28.52617,28.929007,28.355013,26.176949,28.025948,28.27838,27.754665,27.343918,27.661821,28.222158,29.484777,29.591848,29.517027,29.54528
