city_index,country,location_name,MSE,MAE,RMSE,SMAPE_%,R2
0,Afghanistan,Kabul,13.082335912183085,2.8115043945312497,3.6169511901853313,49.13528615186146,0.6624543630463461
1,Thailand,Nan,2.995916519945733,1.2067471580505373,1.730871607007791,3.8593433142040308,0.7657610226782069
2,Vatican City,Vatican City,7.9605822821287,2.110449586868286,2.821450386260354,27.577202978724742,0.33857656283476845
3,Japan,Tokyo,10.048526027281309,2.5724489574432368,3.16994101321796,21.911030520569685,0.5970307587114454
4,Jordan,Amman,5.622762493077537,1.765838180541992,2.3712364903310545,17.354669007933875,0.4466466291328167
5,Iraq,Baghdad,4.6468230889319955,1.629910361289978,2.155649110809084,12.72142616015732,0.7917258690338362
6,Burundi,Bujumbura,1.7885196337911464,1.0398746147155762,1.3373554627664055,4.5454840121962485,0.04952732835818707
7,Ukraine,Kyiv,14.738157823984638,2.787083004415036,3.8390308443648427,59.85146468691266,0.8039003582328117
8,Uzbekistan,Tashkent,18.143044683504982,3.291281838774681,4.259465304883347,38.464197651913686,0.6241186593848879
9,Malta,Valletta,3.566726554620057,1.5285269145965577,1.8885779185990863,11.438066808413042,0.28539398113751147
10,Ghana,Accra,1.4926848766125158,0.932252670288086,1.2217548349044975,3.499149255313579,-0.11833465315130232
11,Poland,Warsaw,10.353971848505369,2.407776635587215,3.217758823856345,64.72325465873355,0.7789612545072659
12,Fiji Islands,Suva,2.823180543568534,1.3694674186706544,1.680232288574569,4.968805267683243,0.13386909234226196
13,Equatorial Guinea,Malabo,0.9977757592171601,0.7672466278076169,0.9988872605139982,3.0242945680742612,0.0043112044982112074
14,Eritrea,Asmara,3.8554568130795333,1.4858019657135009,1.963531719397355,8.618385561696046,0.3052804121695526
15,Chad,N'djamena,12.129337120508923,2.749371746063232,3.4827197878251592,11.84441771122875,0.2869392631576053
16,Senegal,Dakar,5.221712936662641,2.102551696777344,2.285106767016071,10.349988519022832,-2.1751737482625204
17,Marshall Islands,Majuro,1.2669500902602493,0.8048280220031738,1.1255887749352556,2.82015990069531,-0.13545223183876964
18,Malawi,Lilongwe,1.5935358935680441,0.9956722106933595,1.2623533156640594,4.747985910727329,0.27177645819970164
19,Mozambique,Maputo,8.356901041137306,2.4329784889221195,2.8908305106210057,9.644415016903025,-0.7606315513328679
20,United Arab Emirates,Abu Dhabi,5.175761482477442,1.6485115013122558,2.2750299959511393,6.679871763400663,0.1979025669420451
21,Vanuatu,Port Vila,1.7847318395447351,1.0380643577575686,1.3359385612911752,3.6484014801938596,0.20502595321254058
22,Italy,Rome,8.223078537417294,2.187792326927185,2.8675910687225428,28.950458876296175,0.3194557139876466
23,Kenya,Nairobi,1.1906641228117991,0.8585748100280763,1.091175569196726,4.40713347386504,0.32665826902257644
24,Uganda,Kampala,3.1989683930423696,1.3928631820678712,1.7885660158468766,6.210196377528059,0.18638495154825685
25,Bosnia and Herzegovina,Sarajevo,9.22855292694136,2.280242399126291,3.03785334190796,81.46046388575031,0.575548274699232
26,Angola,Luanda,0.7010669843332622,0.6887568550109863,0.8372974288347375,2.6599763471048252,-0.2978419826266152
27,Sri Lanka,Colombo,1.0474159715510958,0.7068899612426758,1.0234334231160793,2.276147098768607,0.48224618311858813
28,Spain,Madrid,5.51901592581945,1.9033425440788267,2.3492585906663086,33.82935792869464,0.38848356596492073
29,Andorra,Andorra La Vella,19.378801866484345,3.51250819337368,4.402136057243613,133.88790863496007,-0.40892843760419284
30,Zambia,Lusaka,1.9550887235362417,1.1160515174865722,1.3982448725227787,5.719239106900197,0.05083565223019615
31,Switzerland,Bern,6.143790135121385,2.0329019741714003,2.4786670077122874,97.83807486573626,0.5256374437469418
32,South Africa,Pretoria,3.235643212399482,1.3693111076354985,1.7987893741067857,7.191982556616022,0.4123861781477115
33,Hungary,Budapest,9.976621100890814,2.478671934425831,3.1585789686013572,79.77813308164104,0.6836742643564906
34,Rwanda,Kigali,2.5699643144770135,1.3575793952941897,1.603110824140681,6.813570883877226,0.21264699059176262
35,Papua New Guinea,Port Moresby,2.126181176848966,1.1610522994995116,1.4581430577446666,4.199519953119761,0.11243586920900572
36,Oman,Muscat,4.673997117963314,1.5963435134887698,2.1619429034929007,5.860825000552444,0.5064175142305479
37,Niger,Niamey,3.8227810836157854,1.4739797668457033,1.9551933622063535,6.192494779745271,0.6819960806150924
38,Nigeria,Abuja,2.2013080412832964,1.1641282348632813,1.4836805725233773,4.808507110064567,0.43060744951886576
39,Namibia,Windhoek,3.761344757562624,1.5659864006042477,1.9394186648484706,8.607658276118093,0.7392011899848413
40,Netherlands,Amsterdam,6.674243966860513,1.9622589321136474,2.5834558186391563,49.70945059506818,0.4607952126068393
41,Cyprus,Nicosia,3.997563927851657,1.540449708938599,1.9993908892089252,11.314224666808405,0.4670496744619945
42,Serbia,Belgrade,8.980585089862275,2.382851646333932,2.9967624346721706,69.02351710135777,0.596516017456407
43,Indonesia,Jakarta,3.3457064961195124,1.2993116416931156,1.8291272498433542,4.461382315411669,0.3379065530996622
44,Cape Verde,Praia,1.6607344446206025,0.9360384674072264,1.2886948609428852,4.552196751221447,0.012179646326009874
45,Solomon Islands,Honiara,5.686893118229916,1.9048606605529783,2.3847207631565412,6.621194061248778,-0.3094162818348558
46,Slovakia,Bratislava,6.143768119288916,1.9641454684734345,2.4786625666453506,61.29182600483749,0.728120322304241
47,Singapore,Singapore,3.577790290777663,1.282799983978271,1.8915047689016444,4.21776995964131,-0.016309135949587272
