0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
17.51063,16.502827,16.52623,14.286613,16.700974,19.51565,19.199825,16.830421,19.644424,19.138752,18.511251,15.397171,17.482685,19.538557,19.427155,12.971936,12.198775,15.706287,18.27195,12.779459,11.594192,16.288712,18.693726,18.832241,19.047277,19.328375,21.30128,22.231186,20.694042,20.475115,20.03033,18.432985,18.726233,19.046509,19.31514,21.784296,21.580893,20.575588,21.69125,22.382362,21.984606,21.510357,22.07439,23.720308,22.85919,19.004116,18.95271,21.28253,21.137657,17.061998,17.653412,20.505665,21.69934,21.523952,21.242685,21.710157,22.660429,24.017038,22.528648,22.22191,22.070255,20.893656,20.088186,21.648642,20.866167,21.749157,21.136961,20.625727,21.332579,21.916012,21.23252,21.08202,21.36696,22.711958,21.864307,20.19088,19.920784,21.12174,21.552938,18.4171,19.271305,21.16067,21.74892,21.722021,21.534197,21.565224,22.874239,22.751987,21.675243,22.077574,22.624315,21.228453,20.634315,20.40338,21.619556,22.977573,22.21788,21.834393,21.892296,22.211853
33.307022,32.56891,33.17716,31.821545,32.79609,33.49829,32.75549,33.35998,34.440357,33.517906,32.82293,33.45903,34.577835,33.217335,33.007404,34.641533,32.724182,32.670887,33.251293,34.0203,35.22937,34.74042,34.504284,33.364883,34.15708,33.048267,33.576164,34.484592,34.94084,33.529457,33.88301,34.506187,35.22023,34.490997,33.633743,34.14497,33.512577,34.170143,34.750904,33.819725,34.08197,33.99891,34.74535,34.007988,33.47103,33.397243,32.836945,32.303688,32.854404,33.354736,33.32357,34.351894,33.837738,33.774525,34.009144,33.442406,32.6065,32.953312,33.133312,33.428665,33.840847,33.91301,34.296013,33.940746,33.887085,34.945847,34.03454,34.13897,34.774063,34.80197,34.788666,34.38922,35.1038,34.631638,34.50388,34.8051,33.958538,34.108006,34.352158,34.36903,34.752495,34.252285,34.4363,34.527416,34.27196,34.60868,34.293404,33.644566,33.909443,33.605087,33.81464,34.59501,34.936974,35.086475,34.778404,34.707275,35.02808,35.00267,35.05217,35.124477
14.156201,12.136387,14.123941,15.82139,14.593239,14.15672,12.544935,16.61973,16.094156,15.452116,14.663826,15.267912,17.566708,18.036493,17.518047,18.565144,16.902464,16.995485,18.810627,19.20259,18.069628,17.997011,17.296711,18.240875,18.884045,24.160269,23.07877,22.216463,19.697693,18.346296,17.124516,14.634693,16.617996,17.365269,17.575623,16.073944,15.930384,18.031809,16.959751,16.772339,16.101618,17.30784,18.40632,18.626953,18.174177,18.274227,16.593159,16.698412,17.883217,18.035196,17.727278,17.538416,17.35284,17.704597,18.097607,22.087046,20.89622,20.439375,19.08779,17.619526,17.5252,15.605121,16.15958,16.796476,17.22472,16.483616,16.247936,17.1349,17.359825,17.102715,17.323654,17.841255,18.382147,18.668915,18.538988,18.724117,17.562222,17.584625,18.586136,18.391466,18.597927,18.853268,18.506094,19.073847,18.669523,19.06204,20.840061,19.20818,18.808607,18.687748,18.048447,16.931448,16.952362,18.224728,17.747107,18.446192,17.338434,17.627056,17.761164,17.750446
19.485678,17.993174,17.989574,17.219475,18.187094,19.362146,14.9382925,15.045975,16.349642,18.550594,20.797222,21.315994,17.287548,15.9648075,13.719392,18.790768,19.055592,19.727571,20.715744,19.248125,18.92457,18.666023,19.30086,23.721004,20.174437,20.337254,21.224346,20.306479,20.441624,18.896584,20.842403,18.811852,20.575703,19.874563,19.78878,20.414902,18.592846,17.962543,18.76107,20.21682,21.280434,21.979763,19.261963,18.145199,16.151272,20.285484,19.470535,19.761086,20.173698,19.109818,19.406246,18.340748,18.698349,21.513845,20.415234,19.815208,20.40538,20.441698,20.458282,19.492691,19.544321,19.444853,20.225883,20.374065,19.954245,20.613886,20.222818,19.2378,19.8228,20.54771,21.546333,21.682545,20.839787,20.771433,19.41449,21.364807,21.2518,21.080803,21.84279,21.050592,21.133308,20.737768,20.326187,21.03094,22.258062,21.990662,22.028183,21.820803,21.590853,20.440807,20.967594,21.187185,21.422707,21.62176,21.969667,22.971716,21.197475,20.746609,21.900793,21.42853
19.366186,17.99331,16.006443,14.571153,14.662031,13.829431,14.1439705,14.41054,14.402376,15.579707,15.486704,14.846888,14.452329,14.843618,16.003096,18.042843,18.5337,16.896652,17.811014,16.711613,16.274014,16.64251,16.29957,16.460205,17.604584,17.365646,18.336857,19.043257,20.204588,22.35393,21.0061,19.012438,17.905384,16.715185,16.09582,15.800819,16.084335,17.10426,16.067461,16.897848,17.011425,16.61674,16.122135,16.182781,17.345919,17.692093,17.70069,16.994844,17.027142,16.640062,16.201195,15.772122,16.222008,16.549183,16.823376,17.293802,17.60691,18.086365,18.438871,20.86599,19.809015,18.080343,17.94425,17.021822,16.681208,16.741531,16.437445,17.474796,17.028776,17.798346,17.855265,17.917278,17.625338,17.349627,18.668367,18.704365,18.640532,18.524685,18.67242,17.930496,18.242104,18.430296,17.747122,17.946669,17.957245,18.33499,18.393684,18.870218,18.883764,21.029158,20.027086,18.889368,18.705494,18.016043,18.447441,17.592047,17.884125,17.223406,18.288239,18.863539
20.196228,19.059193,18.826155,18.720787,16.547234,15.553503,15.2145,16.221525,15.620922,16.17781,16.856403,16.587732,17.0791,17.605757,18.03452,17.840647,18.395351,18.430475,18.392447,18.980011,19.874044,20.452278,21.032919,21.561682,21.482552,21.91884,20.319542,20.804234,22.116053,22.666847,23.088537,23.163797,22.521774,23.847816,21.397293,21.079563,20.608105,21.114756,21.35071,21.437902,22.437935,22.965963,22.890085,23.128141,23.226536,23.310425,23.823235,23.655546,23.46371,23.457033,23.647621,24.143747,24.767517,24.609718,26.001621,25.84929,24.585777,24.705349,25.384737,25.601562,26.678417,27.110518,26.478699,27.457075,26.52144,25.914742,26.081581,26.671293,26.50229,26.796024,26.765173,26.72102,27.339611,27.500113,27.519005,27.279015,27.69135,27.942608,27.81539,28.359295,28.695814,27.858055,28.49033,28.767967,29.22401,29.128351,28.15989,28.017439,28.985394,29.610428,30.402267,30.04046,30.116194,30.6585,29.710478,29.788267,30.068232,30.326283,30.159542,29.961504
21.482645,21.123379,20.55748,19.369638,21.281397,21.609188,21.349915,20.333393,22.23722,22.563364,21.426374,22.095753,21.566387,20.953047,20.80441,20.570047,21.030521,20.94242,20.53695,22.463026,20.222385,22.139566,21.451641,22.003153,22.781542,23.404257,23.135622,22.193472,20.382137,21.16092,21.85055,21.917032,21.380188,20.229038,21.772831,22.039986,21.780947,20.979446,22.726917,22.757174,21.964268,22.75288,22.175167,21.570742,21.534967,21.311348,21.775349,21.687511,21.218498,22.493216,21.302317,22.600153,22.065971,22.548862,23.504381,23.898077,23.22558,22.708885,21.452137,21.80785,22.484982,22.220299,22.060394,21.149353,22.275839,22.65804,22.61005,21.808453,22.719301,23.022589,22.728085,23.208948,22.92446,22.65525,22.465494,22.483086,22.637562,22.408459,22.256948,23.255577,22.532978,23.478252,22.884024,23.313164,23.901642,24.394373,23.639862,23.129608,22.200428,22.77267,23.124258,23.348053,23.018694,22.288355,23.11195,23.301737,23.453571,22.804596,23.462946,23.567474
7.878496,6.1710663,6.348379,6.423278,6.4470744,7.3637714,7.7744102,8.970392,9.5611515,9.443942,7.784073,8.5083065,7.8921824,9.174314,9.094013,10.627376,11.355669,11.151029,10.591674,9.037485,8.207218,8.797549,8.536726,7.0875907,7.3320065,8.943608,10.206602,10.907529,11.307479,10.973529,10.392146,10.317561,11.193564,10.494965,8.991714,10.739615,11.401625,12.108301,11.830679,12.003386,11.653982,11.959526,11.637299,11.733872,12.635263,12.257755,12.221722,12.419303,11.586765,10.220237,10.539268,11.050038,11.440977,11.091148,10.3096695,11.828846,11.634992,12.036237,12.09338,12.832226,11.8319645,12.164526,11.972657,11.962866,12.175349,12.594645,11.652869,12.841036,13.23271,12.643251,12.786414,13.606031,13.951517,13.826946,13.781947,14.257575,13.844346,13.433811,13.562961,13.3231125,12.541226,12.874384,13.494668,12.548484,11.905143,12.2043085,12.565212,12.772369,12.873322,13.076814,13.668499,13.873203,14.131984,14.137268,13.952837,14.224113,14.327382,15.832232,15.197145,14.96838
21.24369,22.152542,22.830526,23.16943,23.97125,23.774857,24.492363,24.23429,24.354057,24.285002,21.281683,21.57461,23.047709,24.564402,25.276749,24.474993,19.684225,21.707047,22.913675,16.73555,24.98748,22.977081,22.712902,22.544294,23.072117,22.8479,24.243166,18.523678,24.144014,25.503712,25.931744,25.521961,25.603624,24.955599,25.49731,24.60928,25.552818,24.815138,24.824192,25.966837,25.225428,25.088146,24.498224,26.530312,25.357422,25.67962,22.767397,24.136219,23.418913,19.406084,22.546371,24.524569,23.648401,25.182545,24.940756,23.293665,24.00138,19.680496,23.755207,24.18147,24.395868,25.649364,25.008862,25.557318,25.205118,24.55233,25.221363,26.038609,25.668627,26.980776,25.61248,25.703482,25.88319,26.90758,26.780758,26.738909,27.06669,25.916058,26.378788,24.386993,25.638758,26.332127,25.67202,26.123592,25.895718,25.266659,25.941736,22.0363,24.991537,25.70925,25.97843,26.491762,26.696238,27.709822,26.948261,26.796953,26.67546,26.96831,26.417887,26.793673
16.287605,15.685782,15.450622,15.523737,15.984061,15.809596,15.0347595,16.476215,15.945947,15.672403,14.461199,15.247266,16.366043,16.803478,16.631905,17.052223,19.553984,19.682049,19.688414,19.844086,18.959852,20.09796,20.371035,20.541634,21.446188,21.988844,20.795809,20.055708,19.101326,19.247122,17.662073,17.42147,17.978329,18.389881,17.771984,17.943602,17.34554,17.714293,17.885101,17.231304,18.218756,17.137266,17.717396,18.128601,17.843443,17.98711,19.460382,19.717655,19.619257,19.356758,19.043766,19.104788,19.540207,19.66622,19.7659,20.928373,19.883678,20.219212,19.956835,19.472569,18.172009,17.87403,18.594881,18.801846,18.756329,18.377443,18.9434,18.875885,19.037727,19.221603,19.081715,18.914877,19.798824,20.010342,19.925247,20.305826,20.50219,20.816463,20.943459,20.917574,20.858316,21.582607,21.515087,21.838451,21.495935,21.852455,21.81413,21.243183,21.098648,21.314175,20.270561,20.084469,20.38438,20.44358,21.219126,20.127256,20.077135,20.622711,20.427715,20.385458
