city_index,country,location_name,MAE,RMSE,SMAPE_%,R2
0,Afghanistan,Kabul,4.1861517687994505,5.4405206346826285,60.421449031452255,0.23629061741122426
1,Thailand,Nan,9.353163627398361,10.430875416342642,33.4042765309551,-7.506893037627936
2,Vatican City,Vatican City,3.1498914378706098,3.840980493135649,37.33037457972511,-0.22579810966782965
3,Japan,Tokyo,3.496835023079194,4.389952608802171,27.73653754536387,0.2271606978490439
4,Jordan,Amman,2.4776101565452184,3.136351370214369,24.267015781403853,0.031940071409952475
5,Iraq,Baghdad,5.055538870021722,5.828404639143951,37.58202584139909,-0.522574608189027
6,Burundi,Bujumbura,2.081352899726329,2.7022744872395705,8.77056879829486,-2.880653299640265
7,Ukraine,Kyiv,12.409914723889981,13.818129547223581,153.83309231277212,-1.5405755682907345
8,Uzbekistan,Tashkent,4.775118467208006,5.689044713303062,50.76768256915489,0.32946833566517764
9,Malta,Valletta,5.206723842711443,6.703568401619791,51.05173314646304,-8.003449749086402
10,Ghana,Accra,2.059635949183702,2.3678608101166336,7.930308708873514,-3.2006450819869663
11,Poland,Warsaw,10.652776711242542,11.691247276260862,144.30349760336978,-1.9179854335343292
12,Fiji Islands,Suva,1.76738926502664,2.0528546490854516,6.431074315903743,-0.2928891335200532
13,Equatorial Guinea,Malabo,1.7722522232943065,2.143445148362535,6.9907294293450235,-3.584747473334782
14,Eritrea,Asmara,10.042035968371056,11.873630759755942,89.89711251296806,-24.403922550740948
15,Chad,N'djamena,7.544173581850786,9.12294532244015,37.7046321312509,-3.8928240744949125
16,Senegal,Dakar,1.8380328891063888,2.154574748105952,9.266563745025666,-1.822783911634973
17,Marshall Islands,Majuro,1.1004276667407782,1.3456572591813396,3.8721985753168835,-0.6228496216540573
18,Malawi,Lilongwe,1.623252468253619,2.0767572178752918,7.656009615476722,-0.9709441659101832
19,Mozambique,Maputo,2.0404012848942408,2.512879498804134,8.118991614848504,-0.3303519399221062
20,United Arab Emirates,Abu Dhabi,9.748234313732215,11.469726348751916,55.163356348406886,-19.387265793377548
21,Vanuatu,Port Vila,1.434751145314629,1.7078616977754577,5.045183308852219,-0.29922801487580686
22,Italy,Rome,3.1345249065482097,3.8382788319473726,37.47910704690287,-0.21925626412772092
23,Kenya,Nairobi,1.8528697860534555,2.273971919008788,9.187665728714816,-1.9242631944858122
24,Uganda,Kampala,2.32970850390636,2.8760530964010753,10.436604606727023,-1.1037921126422159
