city_index,country,location_name,MAE,RMSE,SMAPE_%,R2
0,Afghanistan,Kabul,6.8139466153173025,7.95094005211858,123.787624457384,-0.6311134187273677
1,Thailand,Nan,3.013775364569891,3.499117447839787,9.469288237149918,0.042703446929098665
2,Vatican City,Vatican City,7.018910209067311,8.187547645384765,60.753208604267265,-4.569836216237205
3,Japan,Tokyo,7.468904682690819,8.551055862896353,72.97903400606243,-1.9323042049321004
4,Jordan,Amman,9.911243140209422,10.784318000689874,160.89928348385166,-10.44559018766524
5,Iraq,Baghdad,15.420142214997147,16.546575068906847,174.00653711719076,-11.27143695084071
6,Burundi,Bujumbura,1.3317967534811759,1.7549999732550157,5.845412931174568,-0.6368170893615748
7,Ukraine,Kyiv,13.071296334897545,14.79894616564601,142.1317119576519,-1.9140377806927318
8,Uzbekistan,Tashkent,8.520558024740577,9.645969443119155,111.2453860457252,-0.9276685442370609
9,Malta,Valletta,4.334364155341845,5.088976604250942,27.832823882064407,-4.188690463438289
10,Ghana,Accra,1.3632781246419439,1.6098308487690918,5.152574142800001,-0.9416195688060471
11,Poland,Warsaw,9.642524476137067,10.731643147473584,155.29482655394884,-1.458633943209299
12,Fiji Islands,Suva,2.12380719444895,2.639218174191628,7.544982033780458,-1.136955461071973
13,Equatorial Guinea,Malabo,0.9759363294943304,1.1834485910841044,3.859000328306978,-0.3976211538005865
14,Eritrea,Asmara,2.042830788789558,2.665838009985237,12.054475377913397,-0.28056377796942966
15,Chad,N'djamena,3.9362604863111272,4.76761039521461,17.57211339922476,-0.33626001370458947
16,Senegal,Dakar,3.082309647733216,3.8623107089779327,17.035072791675347,-8.070869501020109
17,Marshall Islands,Majuro,1.0983134944658546,1.3122458715155219,3.863999367677247,-0.5432624587045043
18,Malawi,Lilongwe,4.244197029442451,4.524504042621065,22.883639661689934,-8.35502226741556
19,Mozambique,Maputo,2.0994512264989367,2.580997108367271,8.237306406464661,-0.40345423976563466
20,United Arab Emirates,Abu Dhabi,3.934897303218709,5.182310805704256,17.7561956930055,-3.1619780372191446
21,Vanuatu,Port Vila,1.2383041907217616,1.6466973438550616,4.338920894243974,-0.2078348300211783
22,Italy,Rome,5.916014760346558,7.003806845829037,55.92942426038168,-3.0596657207730775
23,Kenya,Nairobi,1.1530139361130631,1.410772479756553,5.8570737012051675,-0.12553815499736998
24,Uganda,Kampala,4.097815695093722,4.52915250829931,20.12262669489458,-4.2172651997799315
25,Bosnia and Herzegovina,Sarajevo,6.316715873260988,7.211465813279298,176.17771281627304,-1.3918932543077478
26,Angola,Luanda,1.6464642237481568,1.9124562868961459,6.5175206082321875,-5.770883446577142
27,Sri Lanka,Colombo,1.573667005603673,1.7733441547214364,5.105265163517912,-0.5544980183315305
28,Spain,Madrid,6.407297423909338,7.293769294030357,153.2167950375877,-4.894548291270241
29,Andorra,Andorra La Vella,3.249989641110744,4.109718868986756,98.18470160042786,-0.22796571468974935
30,Zambia,Lusaka,1.9727193871665745,2.722300492991482,10.511822461140792,-2.5978832770859634
31,Switzerland,Bern,10.403819586682603,11.310046631233112,177.3778756585358,-8.876494347192398
32,South Africa,Pretoria,2.8009660891358434,3.4410852931306066,14.048201970699525,-1.1504148518154116
33,Hungary,Budapest,8.432712247949999,9.227372416081444,179.29986663194578,-1.6996480304213333
34,Rwanda,Kigali,1.5972046718701813,1.9134644879384741,8.015014836840262,-0.12171676791134933
35,Papua New Guinea,Port Moresby,1.6564169260961046,2.151014293655805,5.917722207995548,-0.9314615472487775
36,Oman,Muscat,2.836870241989849,3.533958614353897,10.728049981892232,-0.3188464026079121
37,Niger,Niamey,2.1509552449068443,2.5853776305682494,9.02860257251471,0.44396642286555865
38,Nigeria,Abuja,3.9238496132341982,4.389582672317249,17.0710605294571,-3.9839930319590753
39,Namibia,Windhoek,5.9920686154640785,6.746186937978318,29.619320324418364,-2.155580083907622
40,Netherlands,Amsterdam,6.868398663844492,7.6551668439324265,176.1454547924667,-3.7343567784945737
41,Cyprus,Nicosia,10.144690359015254,11.325671737523113,121.47143524899626,-16.10091128797132
42,Serbia,Belgrade,5.61214847778349,6.280919882696383,147.7394894244673,-0.7724262531832156
43,Indonesia,Jakarta,2.08145614518867,2.512380666492984,7.058390041910492,-0.24911474602505868
44,Cape Verde,Praia,2.0890224730316453,2.5063783925026404,10.611336658626408,-2.7365521914882316
45,Solomon Islands,Honiara,3.6037542208872146,4.225769807694931,11.863652429791681,-3.1116329945087413
46,Slovakia,Bratislava,5.193268201762009,5.832184499422533,159.40499350120763,-0.5052354538685422
47,Singapore,Singapore,1.811899202105377,2.1468168971933137,5.95707486204221,-0.3091848115299982
48,Slovenia,Ljubljana,3.352360682884803,4.345817086795976,95.92411555984272,0.09662606237505855
49,Germany,Berlin,7.214103608595418,8.188482966132785,165.62381663783128,-1.2508775249312096
50,Finland,Helsinki,12.358296034715972,14.553208358430297,128.2630195930575,-2.0515103912636334
51,Russia,Moscow,8.63064844920823,9.94048711201695,123.26320043852238,-0.2486322525962792
52,Madagascar,Antananarivo,2.3289229111762917,2.722290632957411,10.373097829816803,-1.3678069227372558
53,Burkina Faso,Ouagadougou,3.6564449495147175,4.352996143255617,15.638203554647765,-0.3916236190455904
