frequency_cycles_per_hour,period_hours,power
5.7077625570776254e-05,17520.0,381474.7908689602
0.00011415525114155251,8760.0,9655707.50114279
0.00017123287671232877,5840.0,14131.44716587515
0.00022831050228310502,4380.0,185148.2282284962
0.00028538812785388126,3504.0,2567.3460816205557
0.00034246575342465754,2920.0,89897.5923440945
0.00039954337899543376,2502.857142857143,20220.055577970965
0.00045662100456621003,2190.0,2196.060872162974
0.0005136986301369863,1946.666666666667,1202.2790645103698
0.0005707762557077625,1752.0,18543.11331184444
0.0006278538812785388,1592.7272727272727,6.214957698814319
0.0006849315068493151,1460.0,38594.05624929746
0.0007420091324200913,1347.6923076923076,10426.440630311856
0.0007990867579908675,1251.4285714285716,6699.2121739268405
0.0008561643835616438,1168.0,96160.71831042488
0.0009132420091324201,1095.0,7479.6817889111
0.0009703196347031963,1030.5882352941176,32521.90420078852
0.0010273972602739725,973.3333333333335,25763.224932475936
0.0010844748858447489,922.1052631578947,4939.471291283248
0.001141552511415525,876.0,649.8422515480964
0.0011986301369863014,834.2857142857142,8742.929145324075
0.0012557077625570776,796.3636363636364,14404.83305240883
0.0013127853881278538,761.7391304347826,6145.617308910586
0.0013698630136986301,730.0,39664.14308694202
0.0014269406392694063,700.8000000000001,6800.245663825582
0.0014840182648401827,673.8461538461538,1972.024906719354
0.0015410958904109589,648.8888888888889,28856.198965425432
0.001598173515981735,625.7142857142858,1688.0140776779795
0.0016552511415525114,604.1379310344828,6416.606331426814
0.0017123287671232876,584.0,19140.083952398374
0.001769406392694064,565.1612903225806,728.3428692340431
0.0018264840182648401,547.5,12249.084061105548
0.0018835616438356163,530.909090909091,4213.768044591794
0.0019406392694063927,515.2941176470588,16573.25423574048
0.001997716894977169,500.5714285714286,2122.0170443408624
0.002054794520547945,486.66666666666674,11899.413477235354
0.0021118721461187216,473.5135135135135,20277.070615854154
0.0021689497716894978,461.05263157894734,9080.565498492932
0.002226027397260274,449.2307692307692,28801.189143540985
0.00228310502283105,438.0,14661.538797925912
0.0023401826484018263,427.31707317073176,3577.326718393818
0.002397260273972603,417.1428571428571,9212.080389283376
0.002454337899543379,407.4418604651163,7368.046341670611
0.002511415525114155,398.1818181818182,1819.2086314655776
0.0025684931506849314,389.33333333333337,17346.74154639878
0.0026255707762557075,380.8695652173913,4679.672598646292
0.002682648401826484,372.7659574468085,1826.5408967688354
0.0027397260273972603,365.0,1527.3325240776755
0.0027968036529680365,357.55102040816325,10101.309611209772
0.0028538812785388126,350.40000000000003,502.26215847500305
0.002910958904109589,343.5294117647059,144.72422441801157
0.0029680365296803654,336.9230769230769,9512.410334436
0.0030251141552511416,330.5660377358491,1859.8618599861527
0.0030821917808219177,324.44444444444446,333.9412650496308
0.003139269406392694,318.54545454545456,2659.704724308237
0.00319634703196347,312.8571428571429,4235.863508263556
0.0032534246575342467,307.36842105263156,1244.1207410143586
0.003310502283105023,302.0689655172414,3985.1261995701693
0.003367579908675799,296.9491525423729,11008.802037387424
0.003424657534246575,292.0,4325.44063146789
0.0034817351598173513,287.2131147540984,2698.8599222852
0.003538812785388128,282.5806451612903,312.46861551739846
0.003595890410958904,278.0952380952381,8858.698663535948
0.0036529680365296802,273.75,2768.211005978549
0.0037100456621004564,269.53846153846155,316.1846366793153
0.0037671232876712326,265.4545454545455,4447.188122955657
0.003824200913242009,261.4925373134328,1971.4776867153898
0.0038812785388127853,257.6470588235294,338.5634091254653
0.003938356164383562,253.91304347826085,948.3965674642128
0.003995433789954338,250.2857142857143,1098.8804110727986
0.004052511415525114,246.7605633802817,21741.73118956819
0.00410958904109589,243.33333333333337,3193.1126598829987
0.004166666666666667,240.0,880.9855930367746
0.004223744292237443,236.75675675675674,7476.036105405635
0.004280821917808219,233.60000000000002,17689.797184190502
0.0043378995433789955,230.52631578947367,8053.222528461597
0.004394977168949771,227.53246753246756,9805.065618400373
0.004452054794520548,224.6153846153846,1442.8492599072572
0.0045091324200913245,221.77215189873417,17976.861939832885
0.0045662100456621,219.0,368.55813747418495
0.004623287671232877,216.2962962962963,14821.816687101393
0.0046803652968036525,213.65853658536588,463.37836704049477
0.004737442922374429,211.0843373493976,4748.491630821097
0.004794520547945206,208.57142857142856,1055.2489859760615
0.0048515981735159815,206.11764705882354,2822.630937267898
0.004908675799086758,203.72093023255815,3189.622922141738
0.004965753424657534,201.37931034482762,2151.9035140116075
0.00502283105022831,199.0909090909091,2444.9512838421033
0.005079908675799087,196.85393258426964,3645.6386395073105
0.005136986301369863,194.66666666666669,1651.6176484691618
0.005194063926940639,192.52747252747253,3951.6378293231655
0.005251141552511415,190.43478260869566,2399.3878105859926
0.005308219178082192,188.38709677419357,1640.4186263909376
0.005365296803652968,186.38297872340425,8645.81858844203
0.005422374429223744,184.42105263157896,4559.677686100172
0.005479452054794521,182.5,3835.552692698415
0.005536529680365296,180.61855670103094,49.173329917593186
0.005593607305936073,178.77551020408163,1778.8899830070552
0.0056506849315068495,176.96969696969697,2565.6390529083624
0.005707762557077625,175.20000000000002,2035.9329174995048
0.005764840182648402,173.46534653465346,8643.795168293944
0.005821917808219178,171.76470588235296,798.655573055943
0.005878995433789954,170.0970873786408,2945.6886412562326
0.005936073059360731,168.46153846153845,3725.6040892616443
0.0059931506849315065,166.85714285714286,7414.360739549338
0.006050228310502283,165.28301886792454,8528.156523512043
0.006107305936073059,163.73831775700936,9352.556427541096
0.0061643835616438354,162.22222222222223,673.5962776952555
0.006221461187214612,160.73394495412845,6494.05349875304
0.006278538812785388,159.27272727272728,4306.714944206625
0.006335616438356164,157.83783783783784,936.7130019965063
0.00639269406392694,156.42857142857144,5600.356703388396
0.006449771689497717,155.04424778761063,2357.593262471331
0.006506849315068493,153.68421052631578,1435.408468663809
0.006563926940639269,152.34782608695653,4869.187258367114
0.006621004566210046,151.0344827586207,2198.0318873437395
0.006678082191780821,149.74358974358975,2868.247510761136
0.006735159817351598,148.47457627118644,336.44899743690536
0.006792237442922375,147.2268907563025,44.49794823309036
0.00684931506849315,146.0,1057.4883469802792
0.006906392694063927,144.79338842975207,10159.013813464231
0.006963470319634703,143.6065573770492,911.3312489895866
0.007020547945205479,142.4390243902439,165.16776816602382
0.007077625570776256,141.29032258064515,490.9152517817044
0.007134703196347032,140.16,2760.0926540550827
0.007191780821917808,139.04761904761904,887.0265579927197
0.007248858447488584,137.95275590551182,1270.8627912309832
0.0073059360730593605,136.875,156.50460730445957
0.007363013698630137,135.81395348837208,666.5853407945752
0.007420091324200913,134.76923076923077,881.3934525431735
0.007477168949771689,133.74045801526717,1608.0311686018015
0.007534246575342465,132.72727272727275,1728.2792067355124
0.007591324200913242,131.7293233082707,1104.4944011761309
0.007648401826484018,130.7462686567164,2408.1493777879273
0.007705479452054794,129.77777777777777,245.39464297472082
0.007762557077625571,128.8235294117647,1270.1133786115893
0.007819634703196347,127.88321167883211,2794.632191708424
0.007876712328767124,126.95652173913042,4497.352701232926
