year_month,monthly_seasonal_max,monthly_seasonal_min,monthly_seasonal_mean,monthly_seasonal_std,point_count,monthly_seasonal_amplitude,city,feature
2024-05,4.745894232702587,-2.8450236396039448,-0.33251538976482126,2.3353866462141037,16,7.590917872306532,Valletta,temperature_celsius
2024-06,4.631702155157997,-2.6096941526191157,0.053319386769853754,1.9857016344896838,30,7.241396307777113,Valletta,temperature_celsius
2024-07,4.38548257491782,-2.3450121799292973,0.009459862500119202,1.6699570718064405,31,6.730494754847117,Valletta,temperature_celsius
2024-08,4.055905145044339,-2.198428565878061,0.051257715573074895,1.5630383715861644,31,6.254333710922401,Valletta,temperature_celsius
2024-09,3.0977724135379905,-2.018403236386394,0.04217748487528041,1.2245433741018494,30,5.116175649924385,Valletta,temperature_celsius
2024-10,2.267969877196572,-1.585446969599854,-0.002224918449282495,0.9268147851783667,31,3.853416846796426,Valletta,temperature_celsius
2024-11,1.6475018062481208,-1.5903919708321266,-0.018351026945180218,0.8192750189347803,30,3.2378937770802474,Valletta,temperature_celsius
2024-12,1.3336074002050733,-1.4848069183637762,-0.028050043847405642,0.7440429952282125,31,2.8184143185688493,Valletta,temperature_celsius
2025-01,1.2583300357712353,-1.5803512722968525,-0.01978809048485355,0.651908960941419,31,2.8386813080680877,Valletta,temperature_celsius
2025-02,1.819844098078185,-2.33690717012296,-0.010871909316093156,0.7908838643986372,28,4.156751268201145,Valletta,temperature_celsius
2025-03,2.333580469077699,-3.0278215804672066,-0.026450470979968575,0.997082076890139,31,5.361402049544905,Valletta,temperature_celsius
2025-04,2.7869709870862205,-3.3115043761434624,-0.04243080966877598,1.1822784738537873,30,6.098475363229683,Valletta,temperature_celsius
2025-05,2.8292499840145906,-3.071521994146507,-0.022490236406930045,1.1238577305678428,31,5.900771978161098,Valletta,temperature_celsius
2025-06,2.575872047389136,-2.4513001516908037,0.01718165276928646,1.0113839743346724,30,5.02717219907994,Valletta,temperature_celsius
2025-07,2.160943970038224,-1.736108095868064,0.06416546927071691,0.7913218890936407,31,3.897052065906288,Valletta,temperature_celsius
2025-08,1.2894785355131464,-0.7395579239329648,0.07292014751015168,0.5217190470297838,31,2.029036459446111,Valletta,temperature_celsius
2025-09,1.4069781965866566,-1.1809078102602022,0.05185574475066896,0.5698602516165282,30,2.5878860068468588,Valletta,temperature_celsius
2025-10,1.8562640968859847,-1.2449294597856797,0.00803725701668241,0.7384081667271277,31,3.1011935566716646,Valletta,temperature_celsius
2025-11,1.491125128661598,-1.8042412043732676,-0.057792172902245476,0.9763340991517924,30,3.295366333034866,Valletta,temperature_celsius
2025-12,1.914206712980242,-2.590765690886441,-0.1304843209071857,1.193510578316594,31,4.504972403866683,Valletta,temperature_celsius
2026-01,2.183306309315229,-2.991995831156275,-0.0974697701483593,1.2402670044390498,31,5.175302140471504,Valletta,temperature_celsius
2026-02,2.781482681571976,-2.4526465955009997,0.10720722883746232,1.1783164574937715,28,5.2341292770729755,Valletta,temperature_celsius
2026-03,2.8699476076326045,-1.7894517219451047,-0.007781567167302254,1.1209553211238052,31,4.65939932957771,Valletta,temperature_celsius
2026-04,4.00729267512244,-1.9761959060172485,0.03839583640948414,1.2723242859664965,30,5.983488581139689,Valletta,temperature_celsius
2026-05,5.205468721983993,-2.111890190376992,0.49500968738870343,1.7819489818134024,15,7.3173589123609855,Valletta,temperature_celsius
