last_updated,observed,trend,seasonal,residual
2024-05-16,27.0,26.0007380589968,1.3666475926215178,-0.36738565161831715
2024-05-17,30.0,26.070723410083826,4.2076890680969425,-0.2784124781807691
2024-05-18,31.0,26.14075606419069,4.745894232702587,0.11334970310672432
2024-05-19,24.0,26.210852582506817,-2.8390640438797483,0.6282114613729313
2024-05-20,25.0,26.281027832569077,-1.264150860570397,-0.016876971998680546
2024-05-21,25.0,26.35128973421556,-1.802699116453967,0.4514093822384062
2024-05-22,27.0,26.421643624430388,1.0560457739987381,-0.4776893984291277
2024-05-23,28.0,26.492091342175964,1.6064760288675564,-0.0985673710435222
2024-05-24,26.0,26.56263864613525,-0.29860757600027305,-0.26403107013497973
2024-05-25,26.0,26.633294285166794,-1.3932807800919085,0.7599864949251156
2024-05-26,26.0,26.70406834078615,-2.0552428829582476,1.351174542172096
2024-05-27,24.0,26.7749618714023,-2.8450236396039448,0.07006176820164356
2024-05-28,24.0,26.845962114682475,-2.0448660667074647,-0.8010960479750118
2024-05-29,25.0,26.917052413424514,-1.2367817764532123,-0.6802706369713007
2024-05-30,25.0,26.988222287703007,-2.166183235381762,0.1779609476787556
2024-05-31,26.0,27.05946744049516,-0.3570989544235571,-0.7023684860716024
2024-06-01,25.0,27.130784266475835,-2.021301345190729,-0.10948292128510673
2024-06-02,25.0,27.20217541522926,-1.7095118461751817,-0.49266356905407704
2024-06-03,29.0,27.273648848166957,1.616299079333036,0.11005207250000737
2024-06-04,26.0,27.34522070604261,-1.9364940401942865,0.5912733341516763
2024-06-05,24.0,27.416910420489245,-2.599090339223562,-0.8178200812656833
2024-06-06,27.0,27.48873790238959,-0.743745820058369,0.2550079176687774
2024-06-07,30.1,27.56073860363329,1.01739083039455,1.5218705659721614
2024-06-08,29.4,27.632954940695463,1.4958588417984573,0.2711862175060773
2024-06-09,29.1,27.705419864284487,1.0857336461669012,0.30884648954861404
2024-06-10,28.1,27.77816624280919,0.7045428922249866,-0.3827091350341725
2024-06-11,30.2,27.85123926219379,2.6759941755721988,-0.32723343776599023
2024-06-12,29.3,27.924731721146635,1.3942545392744436,-0.01898626042107665
2024-06-13,31.3,27.99882796685697,3.079479400500673,0.2216926326423554
2024-06-14,27.3,28.073834654489417,-0.6590474537587063,-0.11478720073071003
2024-06-15,23.7,28.148885244850998,1.6298091281940308,-6.078694373045028
2024-06-16,24.4,28.22384683147561,4.299869813803016,-8.123716645278627
2024-06-17,32.3,28.298879844039107,4.631702155157997,-0.6305819991971049
2024-06-18,24.9,28.374006131973363,-2.6096941526191153,-0.8643119793542482
2024-06-19,27.0,28.44903211901328,-1.490275757804032,0.04124363879074977
2024-06-20,26.8,28.523650195691292,-0.8219208636441048,-0.9017293320471857
