last_updated,raw,weekly_gaussian,monthly_gaussian,yearly_gaussian
2024-05-16,27.0,28.26877861018044,27.152388882004406,28.817607043343656
2024-05-17,30.0,28.751483584993284,27.106986623003547,28.81763830662663
2024-05-18,31.0,28.18844018777272,27.019819921786326,28.817708593093183
2024-05-19,24.0,26.52749627478762,26.897601431757188,28.817813254489227
2024-05-20,25.0,25.495807824749818,26.749069604922855,28.81794655224705
2024-05-21,25.0,25.72459252017822,26.584167257578827,28.818118021254197
2024-05-22,27.0,26.479894149454296,26.413210320759678,28.818319440019398
2024-05-23,28.0,26.82579326784498,26.24602890612254,28.81853790244117
2024-05-24,26.0,26.511735686226764,26.09197172431869,28.818782629632544
2024-05-25,26.0,25.985478463592045,25.95949002972689,28.819048890033372
2024-05-26,26.0,25.38150787379879,25.856342263222032,28.8193291694834
2024-05-27,24.0,24.753158019999823,25.789531095410222,28.819617369802682
2024-05-28,24.0,24.526029583502535,25.764970489855724,28.81990511184968
2024-05-29,25.0,24.77684413163376,25.78656383329452,28.82019271644528
2024-05-30,25.0,25.150478449850983,25.85659972802477,28.820472579742933
2024-05-31,26.0,25.379556708973006,25.974690391206707,28.820722114355316
2024-06-01,25.0,25.562164625502753,26.137909204365233,28.820956233008282
2024-06-02,25.0,26.0941665208312,26.340284716553665,28.821159531573688
2024-06-03,29.0,26.568603355458293,26.57302751516504,28.821321328716557
2024-06-04,26.0,26.279015049861627,26.82531041366788,28.821434450711102
2024-06-05,24.0,26.143659908355637,27.084360541087428,28.821491150866763
2024-06-06,27.0,27.184396877080133,27.33672276361092,28.821479679114393
2024-06-07,30.1,28.563868854886167,27.56925696586543,28.82138762397351
2024-06-08,29.4,29.142683191368235,27.77109813281376,28.821205153543623
2024-06-09,29.1,29.07266527128292,27.934972487154674,28.820921310446604
2024-06-10,28.1,29.09389972328617,28.058144680480233,28.820520099329674
2024-06-11,30.2,29.436506323640273,28.143628615634437,28.82000596374394
2024-06-12,29.3,29.657873777404525,28.199512101850313,28.81935438616504
2024-06-13,31.3,29.066563303519146,28.23802968059315,28.81856249918517
2024-06-14,27.3,27.421473980819663,28.27349288844705,28.81761961650363
2024-06-15,23.7,26.08771463152515,28.319642404290896,28.816503099570465
2024-06-16,24.4,26.49928229469983,28.387295344337947,28.81519847579384
2024-06-17,32.3,27.453207112881017,28.482703872931037,28.813698180264744
2024-06-18,24.9,27.385531097742174,28.606645181826874,28.81199127729951
2024-06-19,27.0,27.572643430844398,28.75492994812923,28.810065823237938
2024-06-20,26.8,29.357226177115706,28.919421443860223,28.80790394565152
2024-06-21,35.2,31.583270417087725,29.09003136229704,28.805490720506786
2024-06-22,34.1,31.85177666433333,29.256472470613396,28.802805686271785
2024-06-23,29.1,30.032951935253017,29.409420197415418,28.799840059004506
2024-06-24,27.2,28.2497070423806,29.541434930096948,28.79658026336312
2024-06-25,25.6,28.03361730294627,29.647515403311452,28.793019281660744
2024-06-26,31.1,29.0551702322157,29.72488626351421,28.789125356951736
2024-06-27,29.2,30.178587243995096,29.773664087711957,28.784893447530514
2024-06-28,31.2,31.23214236082017,29.797496823867142,28.780311091731626
2024-06-29,33.3,32.03900457582778,29.8040899344594,28.77535684099194
2024-06-30,32.2,31.963973857996265,29.805499306115976,28.77001912686389
2024-07-01,32.4,30.702660332209724,29.817797176627103,28.76427856839733
2024-07-02,28.0,28.620797055680917,29.859594676760906,28.758118141911442
2024-07-03,25.0,27.09533579133422,29.94971890083921,28.75152921090719
2024-07-04,26.4,27.101104829757716,30.10402809513125,28.744490327853054
2024-07-05,29.2,27.888329146005923,30.33250599104531,28.73699586915882
2024-07-06,28.1,28.510513099033666,30.63679523936578,28.729026855034554
2024-07-07,28.4,29.36737893797399,31.009202802594412,28.720561869918328
2024-07-08,30.1,31.028624372266037,31.433121422197047,28.711587752002476
2024-07-09,35.2,32.75611112613477,31.885059059991807,28.702095517998703
2024-07-10,33.3,33.590977197831535,32.33654548237486,28.692067714416606
2024-07-11,33.2,34.01888154478114,32.757619362671136,28.68149750957412
2024-07-12,35.3,34.61078145400461,33.11934612828269,28.670352544440664
2024-07-13,35.2,35.09058378261966,33.39643592596421,28.658629502946404
2024-07-14,35.1,35.31045788353329,33.56853552185959,28.64631797715462
2024-07-15,36.3,35.2338168225683,33.62149629201265,28.633403790293844
2024-07-16,34.1,34.95313747715493,33.54847052204838,28.619848682223505
2024-07-17,34.3,35.02055956637413,33.35028247853443,28.605657465485223
2024-07-18,36.2,35.42106767146986,33.03601599067771,28.59082551744403
2024-07-19,36.1,35.34355226388618,32.62243561930421,28.57531840839831
2024-07-20,35.1,34.25324917947172,32.13338439680181,28.559129417086492
2024-07-21,32.43333333333334,32.28105459671809,31.598016534958916,28.542255737125856
2024-07-22,29.76666666666667,30.03423915992498,31.048106526824213,28.524679347313075
2024-07-23,27.1,28.26005083270062,30.515095238444296,28.50639269763777
2024-07-24,27.3,27.314174173549347,30.026634727043888,28.487378558859383
2024-07-25,26.5,27.035200675829994,29.60402943932563,28.4676181206316
2024-07-26,27.0,27.234502957744777,29.260321517017374,28.447107816308513
2024-07-27,27.9,27.686030593801362,28.999968814157747,28.425836678902257
2024-07-28,28.2,28.131059485382572,28.819598124746996,28.403794292173508
2024-07-29,28.2,28.52499890497257,28.710079084694918,28.380965088641645
2024-07-30,29.7,28.780560728950917,28.659235375821364,28.35734549836944
2024-07-31,28.2,28.839058395914847,28.654722928329218,28.33292773450053
2024-08-01,28.9,28.964911355165125,28.686155120197718,28.3076959483121
2024-08-02,29.5,29.12019590870187,28.74665483126997,28.28164490650494
2024-08-03,29.5,28.956310755575945,28.83369804842237,28.254764749426947
2024-08-04,28.0,28.544600221955008,28.948366169449447,28.227053334516285
2024-08-05,28.1,28.302898813360738,29.094506146849607,28.19849762960148
2024-08-06,28.4,28.342121684978707,29.276864547536967,28.169092885878097
2024-08-07,28.3,28.55701103392108,29.49915866268367,28.138830093846003
2024-08-08,28.9,28.92752170719786,29.762318221537647,28.107704999827988
2024-08-09,29.4,29.378487036831423,30.06310147581558,28.075714889934577
2024-08-10,30.0,29.748704246894647,30.39308230772535,28.04285550687045
2024-08-11,30.0,29.96883939724063,30.738846714157297,28.009117168847492
2024-08-12,30.0,30.30296795666439,31.082601746932657,27.974492827223578
2024-08-13,29.7,31.309793165039963,31.40435670564499,27.938988213681473
2024-08-14,34.0,32.977232677814094,31.684252600921845,27.902594182264526
2024-08-15,35.0,34.4168526014418,31.905523072756854,27.865313551886103
2024-08-16,35.3,35.09674737969737,32.05695914281199,27.827136604401623
2024-08-17,36.0,34.95827083065196,32.13463759520242,27.78806179658888
2024-08-18,34.3,33.95624110505935,32.142582532455016,27.748094590502177
2024-08-19,32.4,32.46015911858957,32.091799540111126,27.707230605319232
2024-08-20,30.0,31.20050287345881,31.998172314973324,27.665462753251017
2024-08-21,31.1,30.532369327271873,31.87986455556734,27.622791579107254
2024-08-22,29.2,30.313142393962593,31.754236541248034,27.579236874540925
2024-08-23,31.3,30.413888444990338,31.63555928458119,27.53478852239816
2024-08-24,29.4,30.80785636146736,31.53355163348197,27.48944702397987
2024-08-25,32.3,31.46915312661272,31.453060779549705,27.44321221787714
2024-08-26,32.3,31.914489113663315,31.394710458056355,27.396090994125693
2024-08-27,32.2,31.807285319179172,31.356014151996114,27.348072976477194
2024-08-28,31.0,31.405932599874035,31.332599658818037,27.29917953686912
2024-08-29,31.2,31.138616492243116,31.319113212190253,27.249411067693572
2024-08-30,30.1,31.23622694051963,31.309651487481677,27.198778700661006
2024-08-31,33.3,31.362174908822656,31.29750036148748,27.147281122564767
2024-09-01,30.3,31.028759893336186,31.27490705166901,27.094916622962014
2024-09-02,30.3,30.667346573747814,31.232833205899944,27.04170086160609
2024-09-03,30.4,30.842134293382983,31.160956597442087,26.98763302999465
2024-09-04,31.2,31.525427001402587,31.048539332520797,26.93272874102276
2024-09-05,33.2,32.27423906994538,30.885883902496936,26.87699163038378
2024-09-06,32.4,32.6859433201476,30.665786725360185,26.820433379856823
2024-09-07,33.2,32.66204144898394,30.3852423915259,26.763055762941608
2024-09-08,33.2,31.908311673595527,30.04667803605023,26.704875504583192
2024-09-09,30.0,30.42588935300556,29.65813580035442,26.64589353319726
2024-09-10,28.1,29.038188196054044,29.232994699467778,26.58611982122542
2024-09-11,28.2,28.276297823408676,28.788426808865474,26.525574230905132
2024-09-12,28.2,27.749931493291477,28.343544623138477,26.46426366800319
2024-09-13,27.3,27.01157851134601,27.917083919197225,26.40219384425155
2024-09-14,25.3,26.291915452581506,27.52536101750369,26.339376545322686
2024-09-15,26.1,25.94972049862941,27.181020432962747,26.27583181939701
2024-09-16,26.1,25.767112953671322,26.892015062804823,26.211563635463094
2024-09-17,25.2,25.602129233574658,26.66152404487174,26.14659040293951
2024-09-18,25.0,25.745680330408717,26.48836970890937,26.080925132895548
2024-09-19,27.1,26.08443979631771,26.367637875967333,26.01458869193448
2024-09-20,26.2,26.160545616593744,26.291778437535562,25.947588461468722
2024-09-21,25.3,26.10707921187626,26.25126082404129,25.87992814039395
2024-09-22,27.2,26.062582767860157,26.235850641923278,25.811634125168556
2024-09-23,25.4,25.838112780081985,26.23493965110936,25.74272075529778
2024-09-24,25.1,25.775596648758814,26.2384627007809,25.67319535839324
2024-09-25,26.1,26.253321303750873,26.23747973971949,25.60308803241301
2024-09-26,27.1,27.06107852466192,26.224897774073238,25.53241263330567
2024-09-27,28.1,27.65265465781077,26.1960570757527,25.461184369814315
2024-09-28,29.2,27.350910758374297,26.149043163615733,25.389414291038296
2024-09-29,25.3,26.173306953670686,26.084804196842924,25.317121214839123
2024-09-30,24.1,25.274501584040692,26.006992344141608,25.24432994581648
2024-10-01,25.0,25.449123572088904,25.9211764160418,25.17104960498832
2024-10-02,26.1,26.206521593539623,25.833992881524477,25.097300691182877
2024-10-03,29.4,26.2961563361369,25.75196984417461,25.023096267182794
2024-10-04,23.1,25.367634477175223,25.68042446252795,24.948461245680136
2024-10-05,25.2,24.461682890528515,25.62251670432174,24.873414509333024
2024-10-06,23.2,24.147907357706764,25.57866692249604,24.797985768992984
2024-10-07,23.6,24.637033006264865,25.54667123606484,24.722179220833542
2024-10-08,26.4,25.78512593581083,25.5219588846689,24.646024910478896
2024-10-09,27.2,26.716474071093717,25.49844978380613,24.569527044781672
2024-10-10,28.3,26.666398233845904,25.469579778036696,24.492709808313442
2024-10-11,24.9,25.80845581790548,25.429360256132636,24.41558735898025
2024-10-12,24.3,25.186975197754215,25.373107591905534,24.338184618506634
2024-10-13,25.3,25.259118290896666,25.2978586834082,24.260521233893428
2024-10-14,26.1,25.481912626051475,25.20284917850185,24.182626001997768
2024-10-15,25.3,25.43816410925926,25.089044859703264,24.104512394681024
2024-10-16,25.2,25.302425397197958,24.958925007249885,24.02620407267988
2024-10-17,25.0,25.24886400587856,24.815976277468437,23.947723562769408
